item_id,image_basename,domain,subcategory,source
mv_94,,Plane Geometry,Angle,GeoQA
mv_95,,Plane Geometry,Angle,GeoQA
mv_96,,Plane Geometry,Angle,GeoQA
mv_97,,Plane Geometry,Angle,GeoQA
mv_98,,Plane Geometry,Angle,GeoQA
mv_99,,Plane Geometry,Angle,GeoQA
mv_100,,Plane Geometry,Angle,GeoQA
mv_101,,Plane Geometry,Angle,GeoQA
mv_102,,Plane Geometry,Angle,GeoQA
mv_103,,Plane Geometry,Angle,GeoQA
mv_104,,Plane Geometry,Angle,GeoQA
mv_105,,Plane Geometry,Angle,GeoQA
mv_106,,Plane Geometry,Angle,GeoQA
mv_107,,Plane Geometry,Angle,GeoQA
mv_108,,Plane Geometry,Angle,GeoQA
mv_109,,Plane Geometry,Angle,GeoQA
mv_110,,Plane Geometry,Angle,GeoQA
mv_111,,Plane Geometry,Angle,GeoQA
mv_112,,Plane Geometry,Angle,GeoQA
mv_113,,Plane Geometry,Angle,GeoQA
mv_114,,Plane Geometry,Angle,GeoQA
mv_115,,Plane Geometry,Angle,GeoQA
mv_116,,Plane Geometry,Angle,GeoQA
mv_117,,Plane Geometry,Angle,GeoQA
mv_118,,Plane Geometry,Angle,GeoQA
mv_119,,Plane Geometry,Angle,GeoQA
mv_120,,Plane Geometry,Angle,GeoQA
mv_121,,Plane Geometry,Angle,GeoQA
mv_122,,Plane Geometry,Angle,GeoQA
mv_123,,Plane Geometry,Angle,GeoQA
mv_124,,Plane Geometry,Angle,GeoQA
mv_125,,Plane Geometry,Applied,GeoQA
mv_126,,Plane Geometry,Applied,GeoQA
mv_127,,Plane Geometry,Applied,GeoQA
mv_128,,Plane Geometry,Applied,GeoQA
mv_129,,Plane Geometry,Applied,GeoQA
mv_130,,Plane Geometry,Applied,GeoQA
mv_131,,Plane Geometry,Applied,GeoQA
mv_132,,Plane Geometry,Applied,GeoQA
mv_133,,Plane Geometry,Applied,GeoQA
mv_134,,Plane Geometry,Applied,GeoQA
mv_135,,Plane Geometry,Angle,GeoQA
mv_136,,Plane Geometry,Angle,GeoQA
mv_137,,Plane Geometry,Angle,GeoQA
mv_138,,Plane Geometry,Angle,GeoQA
mv_139,,Plane Geometry,Angle,GeoQA
mv_140,,Plane Geometry,Angle,GeoQA
mv_141,,Plane Geometry,Angle,GeoQA
mv_142,,Plane Geometry,Angle,GeoQA
mv_143,,Plane Geometry,Angle,GeoQA
mv_144,,Plane Geometry,Angle,GeoQA
mv_145,,Plane Geometry,Angle,GeoQA
mv_146,,Plane Geometry,Angle,GeoQA
mv_147,,Plane Geometry,Angle,GeoQA
mv_148,,Plane Geometry,Angle,GeoQA
mv_149,,Plane Geometry,Angle,GeoQA
mv_150,,Plane Geometry,Angle,GeoQA
mv_151,,Plane Geometry,Angle,GeoQA
mv_152,,Plane Geometry,Angle,GeoQA
mv_153,,Plane Geometry,Angle,GeoQA
mv_154,,Plane Geometry,Angle,GeoQA
mv_155,,Plane Geometry,Angle,GeoQA
mv_156,,Plane Geometry,Angle,GeoQA
mv_157,,Plane Geometry,Angle,GeoQA
mv_158,,Plane Geometry,Angle,GeoQA
mv_159,,Plane Geometry,Angle,GeoQA
mv_160,,Plane Geometry,Angle,GeoQA
mv_161,,Plane Geometry,Angle,GeoQA
mv_162,,Plane Geometry,Angle,GeoQA
mv_163,,Plane Geometry,Angle,GeoQA
mv_164,,Plane Geometry,Angle,GeoQA
mv_165,,Plane Geometry,Angle,GeoQA
mv_166,,Plane Geometry,Angle,GeoQA
mv_167,,Plane Geometry,Angle,GeoQA
mv_168,,Plane Geometry,Angle,GeoQA
mv_169,,Plane Geometry,Angle,GeoQA
mv_170,,Plane Geometry,Angle,GeoQA
mv_171,,Plane Geometry,Angle,GeoQA
mv_172,,Plane Geometry,Angle,GeoQA
mv_173,,Plane Geometry,Angle,GeoQA
mv_174,,Plane Geometry,Angle,GeoQA
mv_175,,Plane Geometry,Angle,GeoQA
mv_176,,Plane Geometry,Angle,GeoQA
mv_177,,Plane Geometry,Angle,GeoQA
mv_178,,Plane Geometry,Angle,GeoQA
mv_179,,Plane Geometry,Angle,GeoQA
mv_180,,Plane Geometry,Angle,GeoQA
mv_181,,Plane Geometry,Angle,GeoQA
mv_182,,Plane Geometry,Angle,GeoQA
mv_183,,Plane Geometry,Angle,GeoQA
mv_184,,Plane Geometry,Angle,GeoQA
mv_185,,Plane Geometry,Angle,GeoQA
mv_186,,Plane Geometry,Angle,GeoQA
mv_187,,Plane Geometry,Angle,GeoQA
mv_188,,Plane Geometry,Angle,GeoQA
mv_189,,Plane Geometry,Angle,GeoQA
mv_190,,Plane Geometry,Angle,GeoQA
mv_191,,Plane Geometry,Angle,GeoQA
mv_192,,Plane Geometry,Angle,GeoQA
mv_193,,Plane Geometry,Angle,GeoQA
mv_194,,Plane Geometry,Angle,GeoQA
mv_195,,Plane Geometry,Angle,GeoQA
mv_196,,Plane Geometry,Angle,GeoQA
mv_197,,Plane Geometry,Angle,GeoQA
mv_198,,Plane Geometry,Angle,GeoQA
mv_199,,Plane Geometry,Angle,GeoQA
mv_200,,Plane Geometry,Angle,GeoQA
mv_201,,Plane Geometry,Angle,GeoQA
mv_202,,Plane Geometry,Angle,GeoQA
mv_203,,Plane Geometry,Angle,GeoQA
mv_204,,Plane Geometry,Angle,GeoQA
mv_205,,Plane Geometry,Applied,GeoQA
mv_206,,Plane Geometry,Applied,GeoQA
mv_207,,Plane Geometry,Applied,GeoQA
mv_208,,Plane Geometry,Applied,GeoQA
mv_209,,Plane Geometry,Applied,GeoQA
mv_210,,Plane Geometry,Angle,GeoQA
mv_211,,Plane Geometry,Angle,GeoQA
mv_212,,Plane Geometry,Angle,GeoQA
mv_213,,Plane Geometry,Angle,GeoQA
mv_214,,Plane Geometry,Angle,GeoQA
mv_215,,Plane Geometry,Applied,GeoQA
mv_216,,Plane Geometry,Applied,GeoQA
mv_217,,Plane Geometry,Applied,GeoQA
mv_218,,Plane Geometry,Applied,GeoQA
mv_219,,Plane Geometry,Applied,GeoQA
mv_220,,Plane Geometry,Angle,GeoQA
mv_221,,Plane Geometry,Angle,GeoQA
mv_222,,Plane Geometry,Angle,GeoQA
mv_223,,Plane Geometry,Angle,GeoQA
mv_224,,Plane Geometry,Angle,GeoQA
mv_225,,Plane Geometry,Angle,GeoQA
mv_226,,Plane Geometry,Angle,GeoQA
mv_227,,Plane Geometry,Angle,GeoQA
mv_228,,Plane Geometry,Angle,GeoQA
mv_229,,Plane Geometry,Angle,GeoQA
mv_230,,Plane Geometry,Angle,GeoQA
mv_231,,Plane Geometry,Angle,GeoQA
mv_232,,Plane Geometry,Angle,GeoQA
mv_233,,Plane Geometry,Angle,GeoQA
mv_234,,Plane Geometry,Angle,GeoQA
mv_235,,Plane Geometry,Angle,GeoQA
mv_236,,Plane Geometry,Angle,GeoQA
mv_237,,Plane Geometry,Angle,GeoQA
mv_238,,Plane Geometry,Angle,GeoQA
mv_239,,Plane Geometry,Angle,GeoQA
mv_240,,Plane Geometry,Angle,GeoQA
mv_241,,Plane Geometry,Angle,GeoQA
mv_242,,Plane Geometry,Angle,GeoQA
mv_243,,Plane Geometry,Angle,GeoQA
mv_244,,Plane Geometry,Angle,GeoQA
mv_245,,Plane Geometry,Angle,GeoQA
mv_246,,Plane Geometry,Angle,GeoQA
mv_247,,Plane Geometry,Angle,GeoQA
mv_248,,Plane Geometry,Angle,GeoQA
mv_249,,Plane Geometry,Angle,GeoQA
mv_250,,Plane Geometry,Angle,GeoQA
mv_251,,Plane Geometry,Angle,GeoQA
mv_252,,Plane Geometry,Angle,GeoQA
mv_253,,Plane Geometry,Angle,GeoQA
mv_254,,Plane Geometry,Angle,GeoQA
mv_255,,Plane Geometry,Angle,GeoQA
mv_256,,Plane Geometry,Angle,GeoQA
mv_257,,Plane Geometry,Angle,GeoQA
mv_258,,Plane Geometry,Angle,GeoQA
mv_259,,Plane Geometry,Angle,GeoQA
mv_260,,Plane Geometry,Angle,GeoQA
mv_261,,Plane Geometry,Angle,GeoQA
mv_262,,Plane Geometry,Angle,GeoQA
mv_263,,Plane Geometry,Angle,GeoQA
mv_264,,Plane Geometry,Angle,GeoQA
mv_265,,Plane Geometry,Angle,GeoQA
mv_266,,Plane Geometry,Angle,GeoQA
mv_267,,Plane Geometry,Angle,GeoQA
mv_268,,Plane Geometry,Angle,GeoQA
mv_269,,Plane Geometry,Angle,GeoQA
mv_270,,Plane Geometry,Angle,GeoQA
mv_271,,Plane Geometry,Angle,GeoQA
mv_272,,Plane Geometry,Angle,GeoQA
mv_273,,Plane Geometry,Angle,GeoQA
mv_274,,Plane Geometry,Angle,GeoQA
mv_275,,Plane Geometry,Angle,GeoQA
mv_276,,Plane Geometry,Angle,GeoQA
mv_277,,Plane Geometry,Angle,GeoQA
mv_278,,Plane Geometry,Angle,GeoQA
mv_279,,Plane Geometry,Angle,GeoQA
mv_280,,Plane Geometry,Angle,GeoQA
mv_281,,Plane Geometry,Angle,GeoQA
mv_282,,Plane Geometry,Angle,GeoQA
mv_283,,Plane Geometry,Angle,GeoQA
mv_284,,Plane Geometry,Angle,GeoQA
mv_285,,Plane Geometry,Angle,GeoQA
mv_286,,Plane Geometry,Angle,GeoQA
mv_287,,Plane Geometry,Angle,GeoQA
mv_288,,Plane Geometry,Angle,GeoQA
mv_289,,Plane Geometry,Angle,GeoQA
mv_290,,Plane Geometry,Angle,GeoQA
mv_291,,Plane Geometry,Angle,GeoQA
mv_292,,Plane Geometry,Angle,GeoQA
mv_293,,Plane Geometry,Angle,GeoQA
mv_294,,Plane Geometry,Angle,GeoQA
mv_295,,Plane Geometry,Angle,GeoQA
mv_296,,Plane Geometry,Angle,GeoQA
mv_297,,Plane Geometry,Angle,GeoQA
mv_298,,Plane Geometry,Angle,GeoQA
mv_299,,Plane Geometry,Angle,GeoQA
mv_300,,Plane Geometry,Angle,GeoQA
mv_301,,Plane Geometry,Angle,GeoQA
mv_302,,Plane Geometry,Angle,GeoQA
mv_303,,Plane Geometry,Angle,GeoQA
mv_304,,Plane Geometry,Angle,GeoQA
mv_305,,Plane Geometry,Angle,GeoQA
mv_306,,Plane Geometry,Angle,GeoQA
mv_307,,Plane Geometry,Angle,GeoQA
mv_308,,Plane Geometry,Angle,GeoQA
mv_309,,Plane Geometry,Angle,GeoQA
mv_310,,Plane Geometry,Applied,GeoQA
mv_311,,Plane Geometry,Applied,GeoQA
mv_312,,Plane Geometry,Applied,GeoQA
mv_313,,Plane Geometry,Applied,GeoQA
mv_314,,Plane Geometry,Applied,GeoQA
mv_315,,Plane Geometry,Applied,GeoQA
mv_316,,Plane Geometry,Applied,GeoQA
mv_317,,Plane Geometry,Applied,GeoQA
mv_318,,Plane Geometry,Applied,GeoQA
mv_319,,Plane Geometry,Applied,GeoQA
mv_320,,Plane Geometry,Angle,GeoQA
mv_321,,Plane Geometry,Angle,GeoQA
mv_322,,Plane Geometry,Angle,GeoQA
mv_323,,Plane Geometry,Angle,GeoQA
mv_324,,Plane Geometry,Angle,GeoQA
mv_325,,Plane Geometry,Angle,GeoQA
mv_326,,Plane Geometry,Angle,GeoQA
mv_327,,Plane Geometry,Angle,GeoQA
mv_328,,Plane Geometry,Angle,GeoQA
mv_329,,Plane Geometry,Angle,GeoQA
mv_330,,Plane Geometry,Angle,GeoQA
mv_331,,Plane Geometry,Angle,GeoQA
mv_332,,Plane Geometry,Angle,GeoQA
mv_333,,Plane Geometry,Angle,GeoQA
mv_334,,Plane Geometry,Angle,GeoQA
mv_335,,Plane Geometry,Applied,GeoQA
mv_336,,Plane Geometry,Applied,GeoQA
mv_337,,Plane Geometry,Applied,GeoQA
mv_338,,Plane Geometry,Applied,GeoQA
mv_339,,Plane Geometry,Applied,GeoQA
mv_340,,Plane Geometry,Angle,GeoQA
mv_341,,Plane Geometry,Angle,GeoQA
mv_342,,Plane Geometry,Angle,GeoQA
mv_343,,Plane Geometry,Angle,GeoQA
mv_344,,Plane Geometry,Angle,GeoQA
mv_345,,Plane Geometry,Angle,GeoQA
mv_346,,Plane Geometry,Angle,GeoQA
mv_347,,Plane Geometry,Angle,GeoQA
mv_348,,Plane Geometry,Angle,GeoQA
mv_349,,Plane Geometry,Angle,GeoQA
mv_350,,Plane Geometry,Angle,GeoQA
mv_351,,Plane Geometry,Angle,GeoQA
mv_352,,Plane Geometry,Angle,GeoQA
mv_353,,Plane Geometry,Angle,GeoQA
mv_354,,Plane Geometry,Angle,GeoQA
mv_355,,Plane Geometry,Length,GeoQA
mv_356,,Plane Geometry,Length,GeoQA
mv_357,,Plane Geometry,Length,GeoQA
mv_358,,Plane Geometry,Length,GeoQA
mv_359,,Plane Geometry,Length,GeoQA
mv_360,,Plane Geometry,Angle,GeoQA
mv_361,,Plane Geometry,Angle,GeoQA
mv_362,,Plane Geometry,Angle,GeoQA
mv_363,,Plane Geometry,Angle,GeoQA
mv_364,,Plane Geometry,Angle,GeoQA
mv_365,,Plane Geometry,Angle,GeoQA
mv_366,,Plane Geometry,Angle,GeoQA
mv_367,,Plane Geometry,Angle,GeoQA
mv_368,,Plane Geometry,Angle,GeoQA
mv_369,,Plane Geometry,Angle,GeoQA
mv_370,,Plane Geometry,Angle,GeoQA
mv_371,,Plane Geometry,Angle,GeoQA
mv_372,,Plane Geometry,Angle,GeoQA
mv_373,,Plane Geometry,Angle,GeoQA
mv_374,,Plane Geometry,Angle,GeoQA
mv_375,,Plane Geometry,Angle,GeoQA
mv_376,,Plane Geometry,Angle,GeoQA
mv_377,,Plane Geometry,Angle,GeoQA
mv_378,,Plane Geometry,Angle,GeoQA
mv_379,,Plane Geometry,Angle,GeoQA
mv_380,,Plane Geometry,Angle,GeoQA
mv_381,,Plane Geometry,Angle,GeoQA
mv_382,,Plane Geometry,Angle,GeoQA
mv_383,,Plane Geometry,Angle,GeoQA
mv_384,,Plane Geometry,Angle,GeoQA
mv_385,,Plane Geometry,Angle,GeoQA
mv_386,,Plane Geometry,Angle,GeoQA
mv_387,,Plane Geometry,Angle,GeoQA
mv_388,,Plane Geometry,Angle,GeoQA
mv_389,,Plane Geometry,Angle,GeoQA
mv_390,,Plane Geometry,Length,GeoQA
mv_391,,Plane Geometry,Length,GeoQA
mv_392,,Plane Geometry,Length,GeoQA
mv_393,,Plane Geometry,Length,GeoQA
mv_394,,Plane Geometry,Length,GeoQA
mv_395,,Plane Geometry,Applied,GeoQA
mv_396,,Plane Geometry,Applied,GeoQA
mv_397,,Plane Geometry,Applied,GeoQA
mv_398,,Plane Geometry,Applied,GeoQA
mv_399,,Plane Geometry,Applied,GeoQA
mv_400,,Plane Geometry,Angle,GeoQA
mv_401,,Plane Geometry,Angle,GeoQA
mv_402,,Plane Geometry,Angle,GeoQA
mv_403,,Plane Geometry,Angle,GeoQA
mv_404,,Plane Geometry,Angle,GeoQA
mv_405,,Plane Geometry,Angle,GeoQA
mv_406,,Plane Geometry,Angle,GeoQA
mv_407,,Plane Geometry,Angle,GeoQA
mv_408,,Plane Geometry,Angle,GeoQA
mv_409,,Plane Geometry,Angle,GeoQA
mv_410,,Plane Geometry,Angle,GeoQA
mv_411,,Plane Geometry,Angle,GeoQA
mv_412,,Plane Geometry,Angle,GeoQA
mv_413,,Plane Geometry,Angle,GeoQA
mv_414,,Plane Geometry,Angle,GeoQA
mv_415,,Plane Geometry,Length,GeoQA
mv_416,,Plane Geometry,Length,GeoQA
mv_417,,Plane Geometry,Length,GeoQA
mv_418,,Plane Geometry,Length,GeoQA
mv_419,,Plane Geometry,Length,GeoQA
mv_420,,Plane Geometry,Length,GeoQA
mv_421,,Plane Geometry,Length,GeoQA
mv_422,,Plane Geometry,Length,GeoQA
mv_423,,Plane Geometry,Length,GeoQA
mv_424,,Plane Geometry,Length,GeoQA
mv_425,,Plane Geometry,Length,GeoQA
mv_426,,Plane Geometry,Length,GeoQA
mv_427,,Plane Geometry,Length,GeoQA
mv_428,,Plane Geometry,Length,GeoQA
mv_429,,Plane Geometry,Length,GeoQA
mv_430,,Plane Geometry,Angle,GeoQA
mv_431,,Plane Geometry,Angle,GeoQA
mv_432,,Plane Geometry,Angle,GeoQA
mv_433,,Plane Geometry,Angle,GeoQA
mv_434,,Plane Geometry,Angle,GeoQA
mv_435,,Plane Geometry,Angle,GeoQA
mv_436,,Plane Geometry,Angle,GeoQA
mv_437,,Plane Geometry,Angle,GeoQA
mv_438,,Plane Geometry,Angle,GeoQA
mv_439,,Plane Geometry,Angle,GeoQA
mv_440,,Plane Geometry,Angle,GeoQA
mv_441,,Plane Geometry,Angle,GeoQA
mv_442,,Plane Geometry,Angle,GeoQA
mv_443,,Plane Geometry,Angle,GeoQA
mv_444,,Plane Geometry,Angle,GeoQA
mv_445,,Plane Geometry,Angle,GeoQA
mv_446,,Plane Geometry,Angle,GeoQA
mv_447,,Plane Geometry,Angle,GeoQA
mv_448,,Plane Geometry,Angle,GeoQA
mv_449,,Plane Geometry,Angle,GeoQA
mv_450,,Plane Geometry,Angle,GeoQA
mv_451,,Plane Geometry,Angle,GeoQA
mv_452,,Plane Geometry,Angle,GeoQA
mv_453,,Plane Geometry,Angle,GeoQA
mv_454,,Plane Geometry,Angle,GeoQA
mv_455,,Plane Geometry,Angle,GeoQA
mv_456,,Plane Geometry,Angle,GeoQA
mv_457,,Plane Geometry,Angle,GeoQA
mv_458,,Plane Geometry,Angle,GeoQA
mv_459,,Plane Geometry,Angle,GeoQA
mv_460,,Plane Geometry,Angle,GeoQA
mv_461,,Plane Geometry,Angle,GeoQA
mv_462,,Plane Geometry,Angle,GeoQA
mv_463,,Plane Geometry,Angle,GeoQA
mv_464,,Plane Geometry,Angle,GeoQA
mv_465,,Plane Geometry,Length,GeoQA
mv_466,,Plane Geometry,Length,GeoQA
mv_467,,Plane Geometry,Length,GeoQA
mv_468,,Plane Geometry,Length,GeoQA
mv_469,,Plane Geometry,Length,GeoQA
mv_470,,Plane Geometry,Angle,GeoQA
mv_471,,Plane Geometry,Angle,GeoQA
mv_472,,Plane Geometry,Angle,GeoQA
mv_473,,Plane Geometry,Angle,GeoQA
mv_474,,Plane Geometry,Angle,GeoQA
mv_475,,Plane Geometry,Angle,GeoQA
mv_476,,Plane Geometry,Angle,GeoQA
mv_477,,Plane Geometry,Angle,GeoQA
mv_478,,Plane Geometry,Angle,GeoQA
mv_479,,Plane Geometry,Angle,GeoQA
mv_480,,Plane Geometry,Angle,GeoQA
mv_481,,Plane Geometry,Angle,GeoQA
mv_482,,Plane Geometry,Angle,GeoQA
mv_483,,Plane Geometry,Angle,GeoQA
mv_484,,Plane Geometry,Angle,GeoQA
mv_485,,Plane Geometry,Angle,GeoQA
mv_486,,Plane Geometry,Angle,GeoQA
mv_487,,Plane Geometry,Angle,GeoQA
mv_488,,Plane Geometry,Angle,GeoQA
mv_489,,Plane Geometry,Angle,GeoQA
mv_490,,Plane Geometry,Angle,GeoQA
mv_491,,Plane Geometry,Angle,GeoQA
mv_492,,Plane Geometry,Angle,GeoQA
mv_493,,Plane Geometry,Angle,GeoQA
mv_494,,Plane Geometry,Angle,GeoQA
mv_495,,Plane Geometry,Angle,GeoQA
mv_496,,Plane Geometry,Angle,GeoQA
mv_497,,Plane Geometry,Angle,GeoQA
mv_498,,Plane Geometry,Angle,GeoQA
mv_499,,Plane Geometry,Angle,GeoQA
mv_500,,Plane Geometry,Angle,GeoQA
mv_501,,Plane Geometry,Angle,GeoQA
mv_502,,Plane Geometry,Angle,GeoQA
mv_503,,Plane Geometry,Angle,GeoQA
mv_504,,Plane Geometry,Angle,GeoQA
mv_505,,Plane Geometry,Length,GeoQA
mv_506,,Plane Geometry,Length,GeoQA
mv_507,,Plane Geometry,Length,GeoQA
mv_508,,Plane Geometry,Length,GeoQA
mv_509,,Plane Geometry,Length,GeoQA
mv_510,,Plane Geometry,Angle,GeoQA
mv_511,,Plane Geometry,Angle,GeoQA
mv_512,,Plane Geometry,Angle,GeoQA
mv_513,,Plane Geometry,Angle,GeoQA
mv_514,,Plane Geometry,Angle,GeoQA
mv_515,,Plane Geometry,Length,GeoQA
mv_516,,Plane Geometry,Length,GeoQA
mv_517,,Plane Geometry,Length,GeoQA
mv_518,,Plane Geometry,Length,GeoQA
mv_519,,Plane Geometry,Length,GeoQA
mv_520,,Plane Geometry,Angle,GeoQA
mv_521,,Plane Geometry,Angle,GeoQA
mv_522,,Plane Geometry,Angle,GeoQA
mv_523,,Plane Geometry,Angle,GeoQA
mv_524,,Plane Geometry,Angle,GeoQA
mv_525,,Plane Geometry,Angle,GeoQA
mv_526,,Plane Geometry,Angle,GeoQA
mv_527,,Plane Geometry,Angle,GeoQA
mv_528,,Plane Geometry,Angle,GeoQA
mv_529,,Plane Geometry,Angle,GeoQA
mv_530,,Plane Geometry,Angle,GeoQA
mv_531,,Plane Geometry,Angle,GeoQA
mv_532,,Plane Geometry,Angle,GeoQA
mv_533,,Plane Geometry,Angle,GeoQA
mv_534,,Plane Geometry,Angle,GeoQA
mv_535,,Plane Geometry,Applied,GeoQA
mv_536,,Plane Geometry,Applied,GeoQA
mv_537,,Plane Geometry,Applied,GeoQA
mv_538,,Plane Geometry,Applied,GeoQA
mv_539,,Plane Geometry,Applied,GeoQA
mv_540,,Plane Geometry,Angle,GeoQA
mv_541,,Plane Geometry,Angle,GeoQA
mv_542,,Plane Geometry,Angle,GeoQA
mv_543,,Plane Geometry,Angle,GeoQA
mv_544,,Plane Geometry,Angle,GeoQA
mv_545,,Plane Geometry,Applied,GeoQA
mv_546,,Plane Geometry,Applied,GeoQA
mv_547,,Plane Geometry,Applied,GeoQA
mv_548,,Plane Geometry,Applied,GeoQA
mv_549,,Plane Geometry,Applied,GeoQA
mv_550,,Plane Geometry,Angle,GeoQA
mv_551,,Plane Geometry,Angle,GeoQA
mv_552,,Plane Geometry,Angle,GeoQA
mv_553,,Plane Geometry,Angle,GeoQA
mv_554,,Plane Geometry,Angle,GeoQA
mv_555,,Plane Geometry,Length,GeoQA
mv_556,,Plane Geometry,Length,GeoQA
mv_557,,Plane Geometry,Length,GeoQA
mv_558,,Plane Geometry,Length,GeoQA
mv_559,,Plane Geometry,Length,GeoQA
mv_560,,Plane Geometry,Angle,GeoQA
mv_561,,Plane Geometry,Angle,GeoQA
mv_562,,Plane Geometry,Angle,GeoQA
mv_563,,Plane Geometry,Angle,GeoQA
mv_564,,Plane Geometry,Angle,GeoQA
mv_565,,Plane Geometry,Area,GeoQA
mv_566,,Plane Geometry,Area,GeoQA
mv_567,,Plane Geometry,Area,GeoQA
mv_568,,Plane Geometry,Area,GeoQA
mv_569,,Plane Geometry,Area,GeoQA
mv_570,,Plane Geometry,Applied,GeoQA
mv_571,,Plane Geometry,Applied,GeoQA
mv_572,,Plane Geometry,Applied,GeoQA
mv_573,,Plane Geometry,Applied,GeoQA
mv_574,,Plane Geometry,Applied,GeoQA
mv_575,,Plane Geometry,Applied,GeoQA
mv_576,,Plane Geometry,Applied,GeoQA
mv_577,,Plane Geometry,Applied,GeoQA
mv_578,,Plane Geometry,Applied,GeoQA
mv_579,,Plane Geometry,Applied,GeoQA
mv_580,,Plane Geometry,Applied,GeoQA
mv_581,,Plane Geometry,Applied,GeoQA
mv_582,,Plane Geometry,Applied,GeoQA
mv_583,,Plane Geometry,Applied,GeoQA
