item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_115,D,D,B,nan,I+T
mv_116,D,D,B,nan,I+T
mv_117,D,D,B,nan,I+T
mv_118,A,A,B,nan,I+T
mv_120,A:50°,A,D,nan,I+T
mv_121,A:50°,A,D,nan,I+T
mv_122,A:50°,A,D,nan,I+T
mv_123,A,A,D,nan,I+T
mv_125,A,A,C,nan,I+T
mv_126,A,A,C,nan,I+T
mv_127,A,A,C,nan,I+T
mv_128,A,A,C,nan,I+T
mv_130,C,C,A,nan,I+T
mv_131,C,C,A,nan,I+T
mv_132,C,C,A,nan,I+T
mv_133,B,B,A,nan,I+T
mv_135,B,B,B,nan,I+T
mv_136,B,B,B,nan,I+T
mv_137,B,B,B,nan,I+T
mv_138,B,B,B,nan,I+T
mv_140,D:110°,D,C,nan,I+T
mv_141,D:110°,D,C,nan,I+T
mv_142,C,C,C,nan,I+T
mv_143,C,C,C,nan,I+T
mv_145,A,A,C,nan,I+T
mv_146,A,A,C,nan,I+T
mv_147,A,A,C,nan,I+T
mv_148,A,A,C,nan,I+T
mv_150,A:65°,A,B,nan,I+T
mv_151,A:65°,A,B,nan,I+T
mv_152,A,A,B,nan,I+T
mv_153,B,B,B,nan,I+T
mv_155,B,B,C,nan,I+T
mv_156,B,B,C,nan,I+T
mv_157,B,B,C,nan,I+T
mv_158,B,B,C,nan,I+T
mv_160,A,A,C,nan,I+T
mv_161,A,A,C,nan,I+T
mv_162,A,A,C,nan,I+T
mv_163,A,A,C,nan,I+T
mv_165,D,D,C,nan,I+T
mv_166,A,A,C,nan,I+T
mv_167,A,A,C,nan,I+T
mv_168,A,A,C,nan,I+T
mv_170,A,A,C,nan,I+T
mv_171,A,A,C,nan,I+T
mv_172,A,A,C,nan,I+T
mv_173,A,A,C,nan,I+T
mv_175,D:50°,D,A,nan,I+T
mv_176,C:.40°,C,A,nan,I+T
mv_177,C:.40°,C,A,nan,I+T
mv_178,C: 40°,C,A,nan,I+T
mv_180,A,A,A,nan,I+T
mv_181,A,A,A,nan,I+T
mv_182,A,A,A,nan,I+T
mv_183,A,A,A,nan,I+T
mv_185,C: 70°,C,A,nan,I+T
mv_186,C: 70°,C,A,nan,I+T
mv_187,C:.70°,C,A,nan,I+T
mv_188,C: 70°,C,A,nan,I+T
mv_190,D,D,B,nan,I+T
mv_191,D,D,B,nan,I+T
mv_192,D,D,B,nan,I+T
mv_193,A,A,B,nan,I+T
mv_195,A,A,A,nan,I+T
mv_196,A,A,A,nan,I+T
mv_197,A,A,A,nan,I+T
mv_198,B,B,A,nan,I+T
mv_200,A,A,D,nan,I+T
mv_201,D,D,D,nan,I+T
mv_202,D,D,D,nan,I+T
mv_203,D,D,D,nan,I+T
mv_205,B,B,B,nan,I+T
mv_206,B,B,B,nan,I+T
mv_207,B,B,B,nan,I+T
mv_208,B,B,B,nan,I+T
mv_210,C:38°,C,A,nan,I+T
mv_211,C:38°,C,A,nan,I+T
mv_212,B,B,A,nan,I+T
mv_213,A,A,A,nan,I+T
mv_215,A,A,A,nan,I+T
mv_216,A,A,A,nan,I+T
mv_217,A,A,A,nan,I+T
mv_218,A,A,A,nan,I+T
mv_220,A:35°,A,B,nan,I+T
mv_221,A:35°,A,B,nan,I+T
mv_222,A:35°,A,B,nan,I+T
mv_223,A,A,B,nan,I+T
mv_225,C:70°,C,D,nan,I+T
mv_226,C:70°,C,D,nan,I+T
mv_227,C:70°,C,D,nan,I+T
mv_228,C,C,D,nan,I+T
mv_230,B,B,B,nan,I+T
mv_231,B,B,B,nan,I+T
mv_232,B,B,B,nan,I+T
mv_233,B,B,B,nan,I+T
mv_235,C:100°,C,D,nan,I+T
mv_236,C:100°,C,D,nan,I+T
mv_237,C:100°,C,D,nan,I+T
mv_238,C,C,D,nan,I+T
mv_240,B,B,D,nan,I+T
mv_241,B,B,D,nan,I+T
mv_242,B,B,D,nan,I+T
mv_243,A,A,D,nan,I+T
mv_245,C,C,B,nan,I+T
mv_246,C,C,B,nan,I+T
mv_247,C,C,B,nan,I+T
mv_248,C,C,B,nan,I+T
mv_250,B:60°,B,C,nan,I+T
mv_251,B:60°,B,C,nan,I+T
mv_252,B:60°,B,C,nan,I+T
mv_253,B,B,C,nan,I+T
mv_255,A,A,D,nan,I+T
mv_256,A,A,D,nan,I+T
mv_257,B,B,D,nan,I+T
mv_258,B,B,D,nan,I+T
mv_260,A,A,A,nan,I+T
mv_261,A,A,A,nan,I+T
mv_262,A,A,A,nan,I+T
mv_263,A,A,A,nan,I+T
mv_265,A,A,A,nan,I+T
mv_266,A,A,A,nan,I+T
mv_267,C,C,A,nan,I+T
mv_268,A,A,A,nan,I+T
mv_270,C,C,B,nan,I+T
mv_271,C,C,B,nan,I+T
mv_272,C,C,B,nan,I+T
mv_273,A,A,B,nan,I+T
mv_275,B,B,C,nan,I+T
mv_276,B,B,C,nan,I+T
mv_277,B,B,C,nan,I+T
mv_278,B,B,C,nan,I+T
mv_280,B,B,B,nan,I+T
mv_281,B,B,B,nan,I+T
mv_282,B,B,B,nan,I+T
mv_283,B,B,B,nan,I+T
mv_285,D,D,B,nan,I+T
mv_286,D,D,B,nan,I+T
mv_287,C:45°,C,B,nan,I+T
mv_288,D,D,B,nan,I+T
mv_290,A,A,A,nan,I+T
mv_291,A,A,A,nan,I+T
mv_292,B,B,A,nan,I+T
mv_293,B:60°,B,A,nan,I+T
mv_295,A,A,B,nan,I+T
mv_296,A,A,B,nan,I+T
mv_297,A,A,B,nan,I+T
mv_298,B,B,B,nan,I+T
mv_300,A:74°,A,B,nan,I+T
mv_301,A:74°,A,B,nan,I+T
mv_302,A,A,B,nan,I+T
mv_303,A:74°,A,B,nan,I+T
mv_305,C,C,B,nan,I+T
mv_306,B,B,B,nan,I+T
mv_307,B,B,B,nan,I+T
mv_308,A,A,B,nan,I+T
mv_310,B,B,A,nan,I+T
mv_311,B,B,A,nan,I+T
mv_312,B,B,A,nan,I+T
mv_313,A,A,A,nan,I+T
mv_315,C:80cm,C,A,nan,I+T
mv_316,D,D,A,nan,I+T
mv_317,D,D,A,nan,I+T
mv_318,D,D,A,nan,I+T
mv_320,A,A,D,nan,I+T
mv_321,A,A,D,nan,I+T
mv_322,C,C,D,nan,I+T
mv_323,A,A,D,nan,I+T
mv_325,B:80°,B,B,nan,I+T
mv_326,B:80°,B,B,nan,I+T
mv_327,B:80°,B,B,nan,I+T
mv_328,B:80°,B,B,nan,I+T
mv_330,A:40°,A,B,nan,I+T
mv_331,A:40°,A,B,nan,I+T
mv_332,A:40°,A,B,nan,I+T
mv_333,A:40°,A,B,nan,I+T
mv_335,C,C,C,nan,I+T
mv_336,C,C,C,nan,I+T
mv_337,C,C,C,nan,I+T
mv_338,D,D,C,nan,I+T
mv_340,A,A,B,nan,I+T
mv_341,A,A,B,nan,I+T
mv_342,A,A,B,nan,I+T
mv_343,A,A,B,nan,I+T
mv_345,A,A,C,nan,I+T
mv_346,A,A,C,nan,I+T
mv_347,D,D,C,nan,I+T
mv_348,A,A,C,nan,I+T
mv_350,A,A,C,nan,I+T
mv_351,A,A,C,nan,I+T
mv_352,A,A,C,nan,I+T
mv_353,A,A,C,nan,I+T
mv_355,C,C,B,nan,I+T
mv_356,B,B,B,nan,I+T
mv_357,B,B,B,nan,I+T
mv_358,D,D,B,nan,I+T
mv_360,A,A,A,nan,I+T
mv_361,A,A,A,nan,I+T
mv_362,A,A,A,nan,I+T
mv_363,C,C,A,nan,I+T
mv_365,A:55°,A,B,nan,I+T
mv_366,A,A,B,nan,I+T
mv_367,A,A,B,nan,I+T
mv_368,A,A,B,nan,I+T
mv_370,A,A,B,nan,I+T
mv_371,A,A,B,nan,I+T
mv_372,A,A,B,nan,I+T
mv_373,A,A,B,nan,I+T
mv_375,A,A,A,nan,I+T
mv_376,A,A,A,nan,I+T
mv_377,A,A,A,nan,I+T
mv_378,A,A,A,nan,I+T
mv_380,A,A,C,nan,I+T
mv_381,A,A,C,nan,I+T
mv_382,A,A,C,nan,I+T
mv_383,A,A,C,nan,I+T
mv_385,A,A,B,nan,I+T
mv_386,A,A,B,nan,I+T
mv_387,A,A,B,nan,I+T
mv_388,A,A,B,nan,I+T
mv_390,B,B,D,nan,I+T
mv_391,B,B,D,nan,I+T
mv_392,B,B,D,nan,I+T
mv_393,B,B,D,nan,I+T
mv_395,C,C,C,nan,I+T
mv_396,C,C,C,nan,I+T
mv_397,D,D,C,nan,I+T
mv_398,C,C,C,nan,I+T
mv_400,A,A,D,nan,I+T
mv_401,A,A,D,nan,I+T
mv_402,A,A,D,nan,I+T
mv_403,A,A,D,nan,I+T
mv_405,A:25°,A,C,nan,I+T
mv_406,A:25°,A,C,nan,I+T
mv_407,A,A,C,nan,I+T
mv_408,A:25°,A,C,nan,I+T
mv_410,D,D,A,nan,I+T
mv_411,D,D,A,nan,I+T
mv_412,D,D,A,nan,I+T
mv_413,D,D,A,nan,I+T
mv_415,C:√{3},C,C,nan,I+T
mv_416,C:√{3},C,C,nan,I+T
mv_417,A,A,C,nan,I+T
mv_418,A,A,C,nan,I+T
mv_420,D:8√{3},D,D,nan,I+T
mv_421,D:8√{3},D,D,nan,I+T
mv_422,D:8√{3},D,D,nan,I+T
mv_423,D:8√{3},D,D,nan,I+T
mv_425,B:2√{3},B,B,nan,I+T
mv_426,B:2√{3},B,B,nan,I+T
mv_427,B:2√{3},B,B,nan,I+T
mv_428,B,B,B,nan,I+T
mv_430,D,D,A,nan,I+T
mv_431,D,D,A,nan,I+T
mv_432,D,D,A,nan,I+T
mv_433,D,D,A,nan,I+T
mv_435,B,B,A,nan,I+T
mv_436,B,B,A,nan,I+T
mv_437,B,B,A,nan,I+T
mv_438,A,A,A,nan,I+T
mv_440,B,B,D,nan,I+T
mv_441,B:55°,B,D,nan,I+T
mv_442,B:55°,B,D,nan,I+T
mv_443,B:55°,B,D,nan,I+T
mv_445,A:50°,A,C,nan,I+T
mv_446,A:50°,A,C,nan,I+T
mv_447,A:50°,A,C,nan,I+T
mv_448,A,A,C,nan,I+T
mv_450,C:30°,C,B,nan,I+T
mv_451,C:30°,C,B,nan,I+T
mv_452,C:30°,C,B,nan,I+T
mv_453,C,C,B,nan,I+T
mv_455,A,A,B,nan,I+T
mv_456,A,A,B,nan,I+T
mv_457,A,A,B,nan,I+T
mv_458,D,D,B,nan,I+T
mv_460,A:50°,A,A,nan,I+T
mv_461,A,A,A,nan,I+T
mv_462,A,A,A,nan,I+T
mv_463,A,A,A,nan,I+T
mv_465,B,B,A,nan,I+T
mv_466,B,B,A,nan,I+T
mv_467,B,B,A,nan,I+T
mv_468,B,B,A,nan,I+T
mv_470,B,B,C,nan,I+T
mv_471,B,B,C,nan,I+T
mv_472,B,B,C,nan,I+T
mv_473,C,C,C,nan,I+T
mv_475,C,C,C,nan,I+T
mv_476,B:140°,B,C,nan,I+T
mv_477,B:140°,B,C,nan,I+T
mv_478,B:140°,B,C,nan,I+T
mv_480,B,B,C,nan,I+T
mv_481,B,B,C,nan,I+T
mv_482,B,B,C,nan,I+T
mv_483,B,B,C,nan,I+T
mv_485,A,A,B,nan,I+T
mv_486,A,A,B,nan,I+T
mv_487,A,A,B,nan,I+T
mv_488,A,A,B,nan,I+T
mv_490,A,A,C,nan,I+T
mv_491,A,A,C,nan,I+T
mv_492,A,A,C,nan,I+T
mv_493,A,A,C,nan,I+T
mv_495,A:30°,A,D,nan,I+T
mv_496,A,A,D,nan,I+T
mv_497,A,A,D,nan,I+T
mv_498,A,A,D,nan,I+T
mv_500,C:27°,C,C,nan,I+T
mv_501,C:27°,C,C,nan,I+T
mv_502,C:27°,C,C,nan,I+T
mv_503,C:27°,C,C,nan,I+T
mv_505,B: \frac{20}{3},B,C,nan,I+T
mv_506,B: \frac{20}{3},B,C,nan,I+T
mv_507,B: \frac{20}{3},B,C,nan,I+T
mv_508,B: \frac{20}{3},B,C,nan,I+T
mv_510,D,D,A,nan,I+T
mv_511,D,D,A,nan,I+T
mv_512,D,D,A,nan,I+T
mv_513,D,D,A,nan,I+T
mv_515,B,B,A,nan,I+T
mv_516,B,B,A,nan,I+T
mv_517,C:5√{2},C,A,nan,I+T
mv_518,C:5√{2},C,A,nan,I+T
mv_520,C:16°,C,B,nan,I+T
mv_521,C:16°,C,B,nan,I+T
mv_522,C:16°,C,B,nan,I+T
mv_523,C:16°,C,B,nan,I+T
mv_525,C:46°,C,B,nan,I+T
mv_526,C,C,B,nan,I+T
mv_527,C,C,B,nan,I+T
mv_528,C,C,B,nan,I+T
mv_530,B:30°,B,C,nan,I+T
mv_531,B:30°,B,C,nan,I+T
mv_532,B:30°,B,C,nan,I+T
mv_533,B,B,C,nan,I+T
mv_535,D,D,D,nan,I+T
mv_536,D,D,D,nan,I+T
mv_537,D,D,D,nan,I+T
mv_538,A,A,D,nan,I+T
mv_540,A,A,B,nan,I+T
mv_541,A,A,B,nan,I+T
mv_542,A,A,B,nan,I+T
mv_543,A,A,B,nan,I+T
mv_545,B,B,B,nan,I+T
mv_546,B,B,B,nan,I+T
mv_547,B,B,B,nan,I+T
mv_548,B:2√{15}m,B,B,nan,I+T
mv_550,C:27°,C,C,nan,I+T
mv_551,C:27°,C,C,nan,I+T
mv_552,C:27°,C,C,nan,I+T
mv_553,C:27°,C,C,nan,I+T
mv_555,A,A,A,nan,I+T
mv_556,A,A,A,nan,I+T
mv_557,A,A,A,nan,I+T
mv_558,A,A,A,nan,I+T
mv_560,C:55°,C,A,nan,I+T
mv_561,C,C,A,nan,I+T
mv_562,C,C,A,nan,I+T
mv_563,A,A,A,nan,I+T
mv_565,B:πcm²,B,C,nan,I+T
mv_566,B:πcm²,B,C,nan,I+T
mv_567,B: πcm²,B,C,nan,I+T
mv_568,B: πcm²,B,C,nan,I+T
mv_570,A,A,C,nan,I+T
mv_571,A,A,C,nan,I+T
mv_572,A,A,C,nan,I+T
mv_573,A,A,C,nan,I+T
mv_575,A:60π,A,B,nan,I+T
mv_576,A:60π,A,B,nan,I+T
mv_577,A:60π,A,B,nan,I+T
mv_578,D:156π,D,B,nan,I+T
mv_580,B,B,B,nan,I+T
mv_581,B,B,B,nan,I+T
mv_582,B,B,B,nan,I+T
mv_583,B,B,B,nan,I+T
mv_585,A,A,C,nan,I+T
mv_586,A,A,C,nan,I+T
mv_587,A,A,C,nan,I+T
mv_588,A,A,C,nan,I+T
mv_590,A,A,A,nan,I+T
mv_591,A,A,A,nan,I+T
mv_592,A,A,A,nan,I+T
mv_593,A,A,A,nan,I+T
mv_595,C,C,B,nan,I+T
mv_596,C,C,B,nan,I+T
mv_597,C,C,B,nan,I+T
mv_598,C,C,B,nan,I+T
mv_600,B:70πcm^{2},B,C,nan,I+T
mv_601,B:70πcm^{2},B,C,nan,I+T
mv_602,B,B,C,nan,I+T
mv_603,B:70πcm^{2},B,C,nan,I+T
mv_605,A,A,D,nan,I+T
mv_606,A,A,D,nan,I+T
mv_607,A,A,D,nan,I+T
mv_608,A,A,D,nan,I+T
mv_610,A,A,B,nan,I+T
mv_611,A,A,B,nan,I+T
mv_612,A,A,B,nan,I+T
mv_613,A,A,B,nan,I+T
mv_615,A,A,B,nan,I+T
mv_616,A,A,B,nan,I+T
mv_617,A,A,B,nan,I+T
mv_618,A,A,B,nan,I+T
mv_620,B,B,C,nan,I+T
mv_621,B,B,C,nan,I+T
mv_622,B,B,C,nan,I+T
mv_623,B,B,C,nan,I+T
mv_625,A:60π,A,A,nan,I+T
mv_626,A:60π,A,A,nan,I+T
mv_627,A:60π,A,A,nan,I+T
mv_628,A:60π,A,A,nan,I+T
mv_630,B,B,C,nan,I+T
mv_631,B,B,C,nan,I+T
mv_632,B,B,C,nan,I+T
mv_633,B,B,C,nan,I+T
mv_635,B,B,B,nan,I+T
mv_636,C,C,B,nan,I+T
mv_637,C,C,B,nan,I+T
mv_638,B,B,B,nan,I+T
mv_640,C,C,C,nan,I+T
mv_641,C,C,C,nan,I+T
mv_642,C,C,C,nan,I+T
mv_643,A,A,C,nan,I+T
mv_645,B:10√{2},B,B,nan,I+T
mv_646,B:10√{2},B,B,nan,I+T
mv_647,B:10√{2},B,B,nan,I+T
mv_648,B,B,B,nan,I+T
mv_650,B:2√{10},B,D,nan,I+T
mv_651,B:2√{10},B,D,nan,I+T
mv_652,B:2√{10},B,D,nan,I+T
mv_653,B:2√{10},B,D,nan,I+T
mv_655,B:9.6米,B,D,nan,I+T
mv_656,B,B,D,nan,I+T
mv_657,B,B,D,nan,I+T
mv_658,B,B,D,nan,I+T
mv_660,C:60m,C,B,nan,I+T
mv_661,C,C,B,nan,I+T
mv_662,C,C,B,nan,I+T
mv_663,B,B,B,nan,I+T
mv_665,D,D,B,nan,I+T
mv_666,D,D,B,nan,I+T
mv_667,A,A,B,nan,I+T
mv_668,D,D,B,nan,I+T
mv_670,C:35°,C,C,nan,I+T
mv_671,C,C,C,nan,I+T
mv_672,C,C,C,nan,I+T
mv_673,C,C,C,nan,I+T
mv_675,B,B,A,nan,I+T
mv_676,B,B,A,nan,I+T
mv_677,B,B,A,nan,I+T
mv_678,B:9m,B,A,nan,I+T
mv_680,C,C,A,nan,I+T
mv_681,B,B,A,nan,I+T
mv_682,B,B,A,nan,I+T
mv_683,A,A,A,nan,I+T
mv_685,A,A,C,nan,I+T
mv_686,A,A,C,nan,I+T
mv_687,A,A,C,nan,I+T
mv_688,A,A,C,nan,I+T
mv_690,C,C,D,nan,I+T
mv_691,C,C,D,nan,I+T
mv_692,C,C,D,nan,I+T
mv_693,A,A,D,nan,I+T
mv_695,A,A,A,nan,I+T
mv_696,A,A,A,nan,I+T
mv_697,A,A,A,nan,I+T
mv_698,A,A,A,nan,I+T
mv_700,C:15米,C,A,nan,I+T
mv_701,C,C,A,nan,I+T
mv_702,C,C,A,nan,I+T
mv_703,C,C,A,nan,I+T
mv_705,A,A,A,nan,I+T
mv_706,A,A,A,nan,I+T
mv_707,A,A,A,nan,I+T
mv_708,A,A,A,nan,I+T
mv_710,A,A,A,nan,I+T
mv_711,A,A,A,nan,I+T
mv_712,A,A,A,nan,I+T
mv_713,A,A,A,nan,I+T
mv_715,B,B,D,nan,I+T
mv_716,B,B,D,nan,I+T
mv_717,B,B,D,nan,I+T
mv_718,A,A,D,nan,I+T
mv_720,A,A,B,nan,I+T
mv_721,A,A,B,nan,I+T
mv_722,A,A,B,nan,I+T
mv_723,A,A,B,nan,I+T
mv_725,A,A,B,nan,I+T
mv_726,A,A,B,nan,I+T
mv_727,A,A,B,nan,I+T
mv_728,A,A,B,nan,I+T
mv_730,A,A,D,nan,I+T
mv_731,A,A,D,nan,I+T
mv_732,A,A,D,nan,I+T
mv_733,C,C,D,nan,I+T
mv_735,C,C,A,nan,I+T
mv_736,C,C,A,nan,I+T
mv_737,C,C,A,nan,I+T
mv_738,A,A,A,nan,I+T
mv_740,C,C,A,nan,I+T
mv_741,C,C,A,nan,I+T
mv_742,C,C,A,nan,I+T
mv_743,C,C,A,nan,I+T
mv_745,A,A,C,nan,I+T
mv_746,A,A,C,nan,I+T
mv_747,A,A,C,nan,I+T
mv_748,A,A,C,nan,I+T
mv_750,A,A,B,nan,I+T
mv_751,A,A,B,nan,I+T
mv_752,A,A,B,nan,I+T
mv_753,B,B,B,nan,I+T
mv_755,D,D,B,nan,I+T
mv_756,D,D,B,nan,I+T
mv_757,D,D,B,nan,I+T
mv_758,A,A,B,nan,I+T
mv_760,C:1.86m,C,A,nan,I+T
mv_761,C:1.86m,C,A,nan,I+T
mv_762,C:1.86m,C,A,nan,I+T
mv_763,C,C,A,nan,I+T
mv_765,A,A,C,nan,I+T
mv_766,A,A,C,nan,I+T
mv_767,A,A,C,nan,I+T
mv_768,A,A,C,nan,I+T
mv_770,A,A,C,nan,I+T
mv_771,A,A,C,nan,I+T
mv_772,A,A,C,nan,I+T
mv_773,C,C,C,nan,I+T
mv_775,C:36cm^2,C,B,nan,I+T
mv_776,C:36cm^2,C,B,nan,I+T
mv_777,A,A,B,nan,I+T
mv_778,C,C,B,nan,I+T
mv_780,B,B,A,nan,I+T
mv_781,B,B,A,nan,I+T
mv_782,B,B,A,nan,I+T
mv_783,B,B,A,nan,I+T
mv_785,A,A,C,nan,I+T
mv_786,A,A,C,nan,I+T
mv_787,A,A,C,nan,I+T
mv_788,A,A,C,nan,I+T
mv_790,A,A,A,nan,I+T
mv_791,A,A,A,nan,I+T
mv_792,A,A,A,nan,I+T
mv_793,A,A,A,nan,I+T
mv_795,B,B,D,nan,I+T
mv_796,B,B,D,nan,I+T
mv_797,B,B,D,nan,I+T
mv_798,B,B,D,nan,I+T
mv_800,C,C,B,nan,I+T
mv_801,C,C,B,nan,I+T
mv_802,C,C,B,nan,I+T
mv_803,C,C,B,nan,I+T
mv_805,A:40°,A,C,nan,I+T
mv_806,A:40°,A,C,nan,I+T
mv_807,A:40°,A,C,nan,I+T
mv_808,A:40°,A,C,nan,I+T
mv_810,C:\frac{3}{4},C,B,nan,I+T
mv_811,B,B,B,nan,I+T
mv_812,B,B,B,nan,I+T
mv_813,A,A,B,nan,I+T
mv_815,C:\frac{3}{5},C,C,nan,I+T
mv_816,C:\frac{3}{5},C,C,nan,I+T
mv_817,C:\frac{3}{5},C,C,nan,I+T
mv_818,A,A,C,nan,I+T
mv_820,A,A,C,nan,I+T
mv_821,A,A,C,nan,I+T
mv_822,A,A,C,nan,I+T
mv_823,A,A,C,nan,I+T
mv_825,A:\frac{3}{4},A,B,nan,I+T
mv_826,A:\frac{3}{4},A,B,nan,I+T
mv_827,A:\frac{3}{4},A,B,nan,I+T
mv_828,A,A,B,nan,I+T
mv_830,C,C,B,nan,I+T
mv_831,C,C,B,nan,I+T
mv_832,C,C,B,nan,I+T
mv_833,C,C,B,nan,I+T
mv_835,A,A,B,nan,I+T
mv_836,A,A,B,nan,I+T
mv_837,A,A,B,nan,I+T
mv_838,A,A,B,nan,I+T
mv_840,D,D,A,nan,I+T
mv_841,D,D,A,nan,I+T
mv_842,D,D,A,nan,I+T
mv_843,A,A,A,nan,I+T
mv_845,C:\frac{3}{4},C,D,nan,I+T
mv_846,C:\frac{3}{4},C,D,nan,I+T
mv_847,C:\frac{3}{4},C,D,nan,I+T
mv_848,B,B,D,nan,I+T
mv_850,C,C,D,nan,I+T
mv_851,C,C,D,nan,I+T
mv_852,C,C,D,nan,I+T
mv_853,C,C,D,nan,I+T
mv_855,B,B,B,nan,I+T
mv_856,B,B,B,nan,I+T
mv_857,A,A,B,nan,I+T
mv_858,C:\frac{3}{5},C,B,nan,I+T
mv_860,A:50°,A,C,nan,I+T
mv_861,A:50°,A,C,nan,I+T
mv_862,A:50°,A,C,nan,I+T
mv_863,A,A,C,nan,I+T
mv_865,A,A,D,nan,I+T
mv_866,A,A,D,nan,I+T
mv_867,A,A,D,nan,I+T
mv_868,A,A,D,nan,I+T
mv_870,A:40°,A,C,nan,I+T
mv_871,A:40°,A,C,nan,I+T
mv_872,A:40°,A,C,nan,I+T
mv_873,A:40°,A,C,nan,I+T
mv_875,B,B,C,nan,I+T
mv_876,B,B,C,nan,I+T
mv_877,B,B,C,nan,I+T
mv_878,B,B,C,nan,I+T
mv_880,B,B,A,nan,I+T
mv_881,B,B,A,nan,I+T
mv_882,B,B,A,nan,I+T
mv_883,A,A,A,nan,I+T
mv_885,B:2√{3},B,C,nan,I+T
mv_886,B:2√{3},B,C,nan,I+T
mv_887,B:2√{3},B,C,nan,I+T
mv_888,A,A,C,nan,I+T
mv_890,B: \frac{5√{3}}{2},B,D,nan,I+T
mv_891,B: 5√{3},B,D,nan,I+T
mv_892,B: \frac{5√{3}}{2},B,D,nan,I+T
mv_893,B: \frac{5√{3}}{2},B,D,nan,I+T
mv_895,B,B,B,nan,I+T
mv_896,B,B,B,nan,I+T
mv_897,B,B,B,nan,I+T
mv_898,B,B,B,nan,I+T
mv_900,B:9,B,C,nan,I+T
mv_901,B:9,B,C,nan,I+T
mv_902,B:9,B,C,nan,I+T
mv_903,B:9,B,C,nan,I+T
mv_905,B,B,D,nan,I+T
mv_906,B:10,B,D,nan,I+T
mv_907,B:10,B,D,nan,I+T
mv_908,B:10,B,D,nan,I+T
mv_910,B,B,D,nan,I+T
mv_911,B,B,D,nan,I+T
