item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_267,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_268,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_270,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_271,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_272,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_273,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_275,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_276,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_277,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_278,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_280,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_281,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_282,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_283,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_285,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_286,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_287,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_288,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_290,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_291,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_292,D,D,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_293,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_295,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_296,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_297,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_298,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_300,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_301,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_302,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_303,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_305,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_306,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_307,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_308,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_310,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_311,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_312,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_313,B,B,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_315,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_316,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_317,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_318,C,C,A,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_320,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_321,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_322,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_323,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_325,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_326,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_327,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_328,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_330,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_331,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_332,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_333,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_335,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_336,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_337,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_338,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_340,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_341,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_342,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_343,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_345,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_346,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_347,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_348,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_350,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_351,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_352,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_353,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_355,A,A,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_356,C,C,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_357,C,C,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_358,A,A,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_360,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_361,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_362,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_363,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_365,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_366,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_367,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_368,A,A,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_370,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_371,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_372,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_373,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_375,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_376,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_377,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_378,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_380,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_381,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_382,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_383,C,C,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_385,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_386,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_387,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_388,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_390,D,D,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_391,A,A,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_392,D,D,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_393,A,A,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_395,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_396,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_397,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_398,C,C,C,,I+T_perp,,Plane Geometry,Applied,GeoQA
mv_400,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_401,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_402,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_403,D,D,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_405,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_406,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_407,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_408,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_410,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_411,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_412,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_413,C,C,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_415,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_416,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_417,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_418,B,B,C,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_420,B,B,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_421,B,B,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_422,B,B,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_423,B,B,D,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_425,B,B,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_426,B,B,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_427,B,B,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_428,B,B,B,,I+T_perp,,Plane Geometry,Length,GeoQA
mv_430,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_431,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_432,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_433,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_435,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_436,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_437,B,B,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_438,A,A,A,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_440,A,A,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_441,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_442,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_443,B,B,D,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_445,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_446,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_447,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_448,B,B,C,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_450,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_451,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_452,D,D,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_453,B,B,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_455,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
mv_456,C,C,B,,I+T_perp,,Plane Geometry,Angle,GeoQA
