item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition,image_basename,domain,subcategory,source
mv_110,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_111,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_112,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_113,A: 65°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_115,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_116,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_117,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_118,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_120,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_121,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_122,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_123,A: 50°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_125,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_126,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_127,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_128,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_130,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_131,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_132,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_133,B,B,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_135,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_136,B,B,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_137,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_138,B,B,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_140,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_141,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_142,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_143,D,D,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_145,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_146,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_147,B,B,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_148,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_150,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_151,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_152,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_153,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_155,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_156,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_157,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_158,A:52,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_160,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_161,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_162,C: [NUM]°,C,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_163,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_165,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_166,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_167,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_168,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_170,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_171,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_172,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_173,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_175,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_176,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_177,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_178,A: 50°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_180,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_181,A: 50°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_182,A: 50°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_183,A: 50°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_185,C:.[NUM]°,C,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_186,C:.[NUM]°,C,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_187,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_188,A: 70°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_190,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_191,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_192,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_193,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_195,C:10°,C,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_196,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_197,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_198,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_200,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_201,C,C,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_202,C,C,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_203,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_205,B,B,B,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_206,C,C,B,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_207,A,A,B,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_208,C,C,B,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_210,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_211,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_212,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_213,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_215,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_216,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_217,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_218,B,B,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_220,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_221,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_222,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_223,A: 35°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_225,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_226,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_227,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_228,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_230,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_231,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_232,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_233,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_235,A: [NUM]°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_236,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_237,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_238,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_240,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_241,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_242,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_243,A:30°,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_245,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_246,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_247,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_248,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_250,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_251,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_252,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_253,A: 45°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_255,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_256,B,B,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_257,B,B,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_258,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_260,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_261,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_262,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_263,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_265,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_266,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_267,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_268,A: 100°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_270,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_271,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_272,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_273,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_275,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_276,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_277,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_278,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_280,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_281,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_282,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_283,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_285,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_286,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_287,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_288,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_290,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_291,A: [NUM]°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_292,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_293,A: 80°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_295,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_296,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_297,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_298,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_300,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_301,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_302,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_303,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_305,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_306,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_307,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_308,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_310,C,C,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_311,C,C,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_312,C,C,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_313,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_315,B,B,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_316,B,B,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_317,B,B,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_318,A,A,A,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_320,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_321,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_322,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_323,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_325,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_326,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_327,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_328,A: 60°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_330,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_331,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_332,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_333,A: 40°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_335,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_336,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_337,A,A,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_338,12,12,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_340,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_341,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_342,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_343,A:40°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_345,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_346,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_347,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_348,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_350,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_351,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_352,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_353,A: 42°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_355,A,A,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_356,A,A,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_357,A,A,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_358,B,B,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_360,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_361,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_362,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_363,A: 70°,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_365,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_366,A: [NUM]°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_367,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_368,A: 1115°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_370,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_371,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_372,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_373,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_375,B,B,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_376,B,B,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_377,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_378,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_380,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_381,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_382,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_383,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_385,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_386,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_387,A,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_388,A: 70°,A,B,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_390,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_391,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_392,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_393,B,B,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_395,B,B,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_396,B,B,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_397,B,B,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_398,B,B,C,,I+T_masked,,Plane Geometry,Applied,GeoQA
mv_400,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_401,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_402,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_403,A,A,D,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_405,A: [NUM]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_406,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_407,A,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_408,A: [60]°,A,C,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_410,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_411,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_412,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_413,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_415,B:[NUM]√{[NUM]},B,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_416,B:[NUM]√{[NUM]},B,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_417,A,A,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_418,A,A,C,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_420,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_421,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_422,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_423,A,A,D,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_425,D,D,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_426,D,D,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_427,A,A,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_428,B: [NUM]√{[NUM]},B,B,,I+T_masked,,Plane Geometry,Length,GeoQA
mv_430,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_431,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_432,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_433,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_435,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_436,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
mv_437,A,A,A,,I+T_masked,,Plane Geometry,Angle,GeoQA
