item_id,image_path,question_text_original,answer_gold_diagram,choices_optional,roi_hint_optional,answer_gold_text_misleading,condition,question_text,gold_correct_by
mv_12,data/mathverse_images/mv_12.png,"As shown in the figure, if angle BCD = 70.0, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",A,,,None,I+T_masked,"As shown in the figure, if angle BCD = [NUM], then the degree of angle CDB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_13,data/mathverse_images/mv_13.png,"As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:55°
B:50°
C:45°
D:30°",A,,,None,I+T_masked,"As shown in the figure, BD bisects angle ABC, CD parallel AB, then the degree of angle CDB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_15,data/mathverse_images/mv_15.png,"As shown in the figure, AB is tangent to circle O at point B, and the extended line of AO intersects circle O at point C. Connect BC, if angle A = 36.0, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",D,,,None,I+T_masked,"As shown in the figure, AB is tangent to circle O at point B, and the extended line of AO intersects circle O at point C. Connect BC, if angle A = [NUM], then angle C is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_16,data/mathverse_images/mv_16.png,"As shown in the figure, AB is tangent to circle O at point B, if angle A = 36.0, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",D,,,None,I+T_masked,"As shown in the figure, AB is tangent to circle O at point B, if angle A = [NUM], then angle C is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_17,data/mathverse_images/mv_17.png,"As shown in the figure, if angle A = 36.0, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",D,,,None,I+T_masked,"As shown in the figure, if angle A = [NUM], then angle C is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_18,data/mathverse_images/mv_18.png,"As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:36°
B:54°
C:60°
D:27°",D,,,None,I+T_masked,"As shown in the figure, AB is tangent to circle O at point B, then angle C is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_20,data/mathverse_images/mv_20.png,"As shown in the figure, straight lines a and b intersect at point O. If angle 1 is equal to 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",A,,,None,I+T_masked,"As shown in the figure, straight lines a and b intersect at point O. If angle [NUM] is equal to [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_21,data/mathverse_images/mv_21.png,"As shown in the figure, If angle 1 is equal to 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",A,,,None,I+T_masked,"As shown in the figure, If angle [NUM] is equal to [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_22,data/mathverse_images/mv_22.png,"As shown in the figure, If angle 1 is equal to 50.0, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",A,,,None,I+T_masked,"As shown in the figure, If angle [NUM] is equal to [NUM], then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_23,data/mathverse_images/mv_23.png,"As shown in the figure, then angle 2 is equal to ()
Choices:
A:50°
B:40°
C:140°
D:130°",A,,,None,I+T_masked,"As shown in the figure, then angle [NUM] is equal to ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_25,data/mathverse_images/mv_25.png,"As shown in the figure, AB // CD, and EF intersects AB and CD at points E, F, angle 1 = 50.0, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB // CD, and EF intersects AB and CD at points E, F, angle [NUM] = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_26,data/mathverse_images/mv_26.png,"As shown in the figure, AB // CD, angle 1 = 50.0, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB // CD, angle [NUM] = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_27,data/mathverse_images/mv_27.png,"As shown in the figure, angle 1 = 50.0, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",C,,,None,I+T_masked,"As shown in the figure, angle [NUM] = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_28,data/mathverse_images/mv_28.png,"As shown in the figure, AB // CD, then the degree of angle 2 is ()
Choices:
A:50°
B:120°
C:130°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB // CD, then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_30,data/mathverse_images/mv_30.png,"As shown in the figure, triangle ABC congruent triangle ADE, Point A is their common vertex. if angle B = 70.0, angle C = 30.0, angle DAC = 35.0, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle ADE, Point A is their common vertex. if angle B = [NUM], angle C = [NUM], angle DAC = [NUM], then the degree of angle EAC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_31,data/mathverse_images/mv_31.png,"As shown in the figure, triangle ABC congruent triangle ADE, if angle B = 70.0, angle C = 30.0, angle DAC = 35.0, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle ADE, if angle B = [NUM], angle C = [NUM], angle DAC = [NUM], then the degree of angle EAC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_32,data/mathverse_images/mv_32.png,"As shown in the figure, if angle B = 70.0, angle C = 30.0, angle DAC = 35.0, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",B,,,None,I+T_masked,"As shown in the figure, if angle B = [NUM], angle C = [NUM], angle DAC = [NUM], then the degree of angle EAC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_33,data/mathverse_images/mv_33.png,"As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:40°
B:45°
C:35°
D:25°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle ADE, then the degree of angle EAC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_35,data/mathverse_images/mv_35.png,"As shown in the figure, triangle ABC congruent triangle DEF, points A and D, B and E are the corresponding vertices, and the measured BC = 5.0, BF = 7.0, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",C,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle DEF, points A and D, B and E are the corresponding vertices, and the measured BC = [NUM], BF = [NUM], then the length of EC is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_36,data/mathverse_images/mv_36.png,"As shown in the figure, triangle ABC congruent triangle DEF, and the measured BC = 5.0, BF = 7.0, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",C,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle DEF, and the measured BC = [NUM], BF = [NUM], then the length of EC is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_37,data/mathverse_images/mv_37.png,"As shown in the figure, and the measured BC = 5.0, BF = 7.0, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",C,,,None,I+T_masked,"As shown in the figure, and the measured BC = [NUM], BF = [NUM], then the length of EC is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_38,data/mathverse_images/mv_38.png,"As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:1cm
B:2cm
C:3cm
D:4cm",C,,,None,I+T_masked,"As shown in the figure, triangle ABC congruent triangle DEF, then the length of EC is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_40,data/mathverse_images/mv_40.png,"As shown in the figure, in triangle ABC, angle C = 90.0, AC = BC, AD bisects angle CAB and it intersects BC at D, DE perpendicular AB at E, if AB = 6.0, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",A,,,None,I+T_masked,"As shown in the figure, in triangle ABC, angle C = [NUM], AC = BC, AD bisects angle CAB and it intersects BC at D, DE perpendicular AB at E, if AB = [NUM], then the perimeter of triangle DBE is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_41,data/mathverse_images/mv_41.png,"As shown in the figure, AC = BC, AD bisects angle CAB, if AB = 6.0, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",A,,,None,I+T_masked,"As shown in the figure, AC = BC, AD bisects angle CAB, if AB = [NUM], then the perimeter of triangle DBE is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_42,data/mathverse_images/mv_42.png,"As shown in the figure, if AB = 6.0, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",A,,,None,I+T_masked,"As shown in the figure, if AB = [NUM], then the perimeter of triangle DBE is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_43,data/mathverse_images/mv_43.png,"As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:6cm
B:7cm
C:8cm
D:9cm",A,,,None,I+T_masked,"As shown in the figure, AC = BC, AD bisects angle CAB, then the perimeter of triangle DBE is ()
Choices:
A:[NUM]cm
B:[NUM]cm
C:[NUM]cm
D:[NUM]cm",diagram
mv_45,data/mathverse_images/mv_45.png,"As shown in the figure, in triangle ABC, AB = AC, angle A = 36.0, the perpendicular bisector of AB intersects AC at D, and intersects AB at E, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",A,,,None,I+T_masked,"As shown in the figure, in triangle ABC, AB = AC, angle A = [NUM], the perpendicular bisector of AB intersects AC at D, and intersects AB at E, then the degree of angle BDC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_46,data/mathverse_images/mv_46.png,"As shown in the figure, AB = AC, angle A = 36.0, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",A,,,None,I+T_masked,"As shown in the figure, AB = AC, angle A = [NUM], the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_47,data/mathverse_images/mv_47.png,"As shown in the figure, angle A = 36.0, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",A,,,None,I+T_masked,"As shown in the figure, angle A = [NUM], then the degree of angle BDC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_48,data/mathverse_images/mv_48.png,"As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:72°
B:36°
C:60°
D:82°",A,,,None,I+T_masked,"As shown in the figure, AB = AC, the perpendicular bisector of AB intersects AC at D, then the degree of angle BDC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_50,data/mathverse_images/mv_50.png,"As shown in the figure, angle C = 36.0, rotate triangle ABC anticlockwise around point A by 60.0 to get triangle AED, AD and BC intersect at point F, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",A,,,None,I+T_masked,"As shown in the figure, angle C = [NUM], rotate triangle ABC anticlockwise around point A by [NUM] to get triangle AED, AD and BC intersect at point F, then the degree of angle AFC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_51,data/mathverse_images/mv_51.png,"As shown in the figure, angle C = 36.0, rotate triangle ABC anticlockwise around point A by 60.0 to get triangle AED, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",A,,,None,I+T_masked,"As shown in the figure, angle C = [NUM], rotate triangle ABC anticlockwise around point A by [NUM] to get triangle AED, then the degree of angle AFC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_52,data/mathverse_images/mv_52.png,"As shown in the figure, angle C = 36.0, angle BAE = 60.0, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",A,,,None,I+T_masked,"As shown in the figure, angle C = [NUM], angle BAE = [NUM], then the degree of angle AFC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_53,data/mathverse_images/mv_53.png,"As shown in the figure, then the degree of angle AFC is ()
Choices:
A:84°
B:80°
C:60°
D:90°",A,,,None,I+T_masked,"As shown in the figure, then the degree of angle AFC is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_55,data/mathverse_images/mv_55.png,"As shown in the figure, the straight line AB parallel CD, Rttriangle DEF is placed as shown, angle EDF = 90.0, if angle 1 + angle F = 70.0, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",A,,,None,I+T_masked,"As shown in the figure, the straight line AB parallel CD, Rttriangle DEF is placed as shown, angle EDF = [NUM], if angle [NUM] + angle F = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_56,data/mathverse_images/mv_56.png,"As shown in the figure, the straight line AB parallel CD, if angle 1 + angle F = 70.0, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",A,,,None,I+T_masked,"As shown in the figure, the straight line AB parallel CD, if angle [NUM] + angle F = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_57,data/mathverse_images/mv_57.png,"As shown in the figure, if angle 1 + angle F = 70.0, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",A,,,None,I+T_masked,"As shown in the figure, if angle [NUM] + angle F = [NUM], then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_58,data/mathverse_images/mv_58.png,"As shown in the figure, the straight line AB parallel CD, then the degree of angle 2 is ()
Choices:
A:20°
B:25°
C:30°
D:40°",A,,,None,I+T_masked,"As shown in the figure, the straight line AB parallel CD, then the degree of angle [NUM] is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_60,data/mathverse_images/mv_60.png,"As shown in the figure, AB parallel EF, angle BAC = 50.0, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB parallel EF, angle BAC = [NUM], then angle ACD = ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_61,data/mathverse_images/mv_61.png,"As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_62,data/mathverse_images/mv_62.png,"As shown in the figure, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",C,,,None,I+T_masked,"As shown in the figure, then angle ACD = ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_63,data/mathverse_images/mv_63.png,"As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:120°
B:130°
C:140°
D:150°",C,,,None,I+T_masked,"As shown in the figure, AB parallel EF, then angle ACD = ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_65,data/mathverse_images/mv_65.png,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, angle OAB = 35.0, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, angle OAB = [NUM], then the degree of angle ACB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_66,data/mathverse_images/mv_66.png,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, angle OAB = 35.0, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, angle OAB = [NUM], then the degree of angle ACB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_67,data/mathverse_images/mv_67.png,"As shown in the figure, angle OAB = 35.0, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",B,,,None,I+T_masked,"As shown in the figure, angle OAB = [NUM], then the degree of angle ACB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_68,data/mathverse_images/mv_68.png,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:35°
B:55°
C:60°
D:70°",B,,,None,I+T_masked,"As shown in the figure, triangle ABC is the inscribed triangle of circle O, then the degree of angle ACB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_70,data/mathverse_images/mv_70.png,"As shown in the figure, the straight line a and the straight line b are intercepted by the straight line c, b perpendicular  c, the foot of perpendicular is the point A, angle 1 = 70.0. If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",D,,,None,I+T_masked,"As shown in the figure, the straight line a and the straight line b are intercepted by the straight line c, b perpendicular  c, the foot of perpendicular is the point A, angle [NUM] = [NUM]. If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_71,data/mathverse_images/mv_71.png,"As shown in the figure, angle 1 = 70.0. If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",D,,,None,I+T_masked,"As shown in the figure, angle [NUM] = [NUM]. If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_72,data/mathverse_images/mv_72.png,"As shown in the figure, angle 1 = 70.0. The line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",D,,,None,I+T_masked,"As shown in the figure, angle [NUM] = [NUM]. The line b can be rotated () clockwise around the point A 
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_73,data/mathverse_images/mv_73.png,"As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:70°
B:50°
C:30°
D:20°",D,,,None,I+T_masked,"As shown in the figure, If the line b is parallel to the line a, the line b can be rotated () clockwise around the point A 
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_75,data/mathverse_images/mv_75.png,"As shown in the figure, in circle O, chord AC parallel radius OB, angle BOC = 50.0, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",A,,,None,I+T_masked,"As shown in the figure, in circle O, chord AC parallel radius OB, angle BOC = [NUM], then the degree of angle OAB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_76,data/mathverse_images/mv_76.png,"As shown in the figure, chord AC parallel radius OB, angle BOC = 50.0, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",A,,,None,I+T_masked,"As shown in the figure, chord AC parallel radius OB, angle BOC = [NUM], then the degree of angle OAB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_77,data/mathverse_images/mv_77.png,"As shown in the figure, angle BOC = 50.0, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",A,,,None,I+T_masked,"As shown in the figure, angle BOC = [NUM], then the degree of angle OAB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_78,data/mathverse_images/mv_78.png,"As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:25°
B:50°
C:60°
D:30°",A,,,None,I+T_masked,"As shown in the figure, chord AC parallel radius OB, then the degree of angle OAB is ()
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_80,data/mathverse_images/mv_80.png,"In parallelogram ABCD, the diagonal AC and BD intersect at point O, angle DAC = 42.0, angle CBD = 23.0, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",C,,,None,I+T_masked,"In parallelogram ABCD, the diagonal AC and BD intersect at point O, angle DAC = [NUM], angle CBD = [NUM], then angle COD is ().
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_81,data/mathverse_images/mv_81.png,"In parallelogram ABCD, angle DAC = 42.0, angle CBD = 23.0, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",C,,,None,I+T_masked,"In parallelogram ABCD, angle DAC = [NUM], angle CBD = [NUM], then angle COD is ().
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_82,data/mathverse_images/mv_82.png,"In ABCD, angle DAC = 42.0, angle CBD = 23.0, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",C,,,None,I+T_masked,"In ABCD, angle DAC = [NUM], angle CBD = [NUM], then angle COD is ().
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
mv_83,data/mathverse_images/mv_83.png,"In parallelogram ABCD, then angle COD is ().
Choices:
A:61°
B:63°
C:65°
D:67°",C,,,None,I+T_masked,"In parallelogram ABCD, then angle COD is ().
Choices:
A:[NUM]°
B:[NUM]°
C:[NUM]°
D:[NUM]°",diagram
