item_id,model_raw,model_norm,answer_gold_diagram,answer_gold_text_misleading,condition
mv_115,A: [NUM]°,A,B,nan,I+T_masked
mv_116,A: [NUM]°,A,B,nan,I+T_masked
mv_117,A,A,B,nan,I+T_masked
mv_118,A,A,B,nan,I+T_masked
mv_120,A: [NUM]°,A,D,nan,I+T_masked
mv_121,A: [NUM]°,A,D,nan,I+T_masked
mv_122,A,A,D,nan,I+T_masked
mv_123,A: 50°,A,D,nan,I+T_masked
mv_125,A,A,C,nan,I+T_masked
mv_126,A,A,C,nan,I+T_masked
mv_127,A,A,C,nan,I+T_masked
mv_128,A,A,C,nan,I+T_masked
mv_130,A,A,A,nan,I+T_masked
mv_131,A,A,A,nan,I+T_masked
mv_132,A,A,A,nan,I+T_masked
mv_133,B,B,A,nan,I+T_masked
mv_135,A,A,B,nan,I+T_masked
mv_136,B,B,B,nan,I+T_masked
mv_137,A,A,B,nan,I+T_masked
mv_138,B,B,B,nan,I+T_masked
mv_140,A,A,C,nan,I+T_masked
mv_141,A,A,C,nan,I+T_masked
mv_142,A,A,C,nan,I+T_masked
mv_143,D,D,C,nan,I+T_masked
mv_145,A,A,C,nan,I+T_masked
mv_146,A,A,C,nan,I+T_masked
mv_147,B,B,C,nan,I+T_masked
mv_148,A,A,C,nan,I+T_masked
mv_150,A: [NUM]°,A,B,nan,I+T_masked
mv_151,A: [NUM]°,A,B,nan,I+T_masked
mv_152,A,A,B,nan,I+T_masked
mv_153,A: [NUM]°,A,B,nan,I+T_masked
mv_155,A,A,C,nan,I+T_masked
mv_156,A: [NUM]°,A,C,nan,I+T_masked
mv_157,A,A,C,nan,I+T_masked
mv_158,A:52,A,C,nan,I+T_masked
mv_160,A: [NUM]°,A,C,nan,I+T_masked
mv_161,A: [NUM]°,A,C,nan,I+T_masked
mv_162,C: [NUM]°,C,C,nan,I+T_masked
mv_163,A,A,C,nan,I+T_masked
mv_165,A: [NUM]°,A,C,nan,I+T_masked
mv_166,A,A,C,nan,I+T_masked
mv_167,A,A,C,nan,I+T_masked
mv_168,A,A,C,nan,I+T_masked
mv_170,A,A,C,nan,I+T_masked
mv_171,A,A,C,nan,I+T_masked
mv_172,A,A,C,nan,I+T_masked
mv_173,A,A,C,nan,I+T_masked
mv_175,A: [NUM]°,A,A,nan,I+T_masked
mv_176,A: [NUM]°,A,A,nan,I+T_masked
mv_177,A: [NUM]°,A,A,nan,I+T_masked
mv_178,A: 50°,A,A,nan,I+T_masked
mv_180,A: [NUM]°,A,A,nan,I+T_masked
mv_181,A: 50°,A,A,nan,I+T_masked
mv_182,A: 50°,A,A,nan,I+T_masked
mv_183,A: 50°,A,A,nan,I+T_masked
mv_185,C:.[NUM]°,C,A,nan,I+T_masked
mv_186,C:.[NUM]°,C,A,nan,I+T_masked
mv_187,A,A,A,nan,I+T_masked
mv_188,A: 70°,A,A,nan,I+T_masked
mv_190,A: [NUM]°,A,B,nan,I+T_masked
mv_191,A,A,B,nan,I+T_masked
mv_192,A,A,B,nan,I+T_masked
mv_193,A,A,B,nan,I+T_masked
mv_195,C:10°,C,A,nan,I+T_masked
mv_196,A,A,A,nan,I+T_masked
mv_197,A,A,A,nan,I+T_masked
mv_198,A,A,A,nan,I+T_masked
mv_200,A,A,D,nan,I+T_masked
mv_201,C,C,D,nan,I+T_masked
mv_202,C,C,D,nan,I+T_masked
mv_203,A,A,D,nan,I+T_masked
mv_205,B,B,B,nan,I+T_masked
mv_206,C,C,B,nan,I+T_masked
mv_207,A,A,B,nan,I+T_masked
mv_208,C,C,B,nan,I+T_masked
mv_210,A,A,A,nan,I+T_masked
mv_211,A,A,A,nan,I+T_masked
mv_212,A,A,A,nan,I+T_masked
mv_213,A,A,A,nan,I+T_masked
mv_215,A,A,A,nan,I+T_masked
mv_216,A,A,A,nan,I+T_masked
mv_217,A,A,A,nan,I+T_masked
mv_218,B,B,A,nan,I+T_masked
mv_220,A,A,B,nan,I+T_masked
mv_221,A,A,B,nan,I+T_masked
mv_222,A: [NUM]°,A,B,nan,I+T_masked
mv_223,A: 35°,A,B,nan,I+T_masked
mv_225,A: [NUM]°,A,D,nan,I+T_masked
mv_226,A,A,D,nan,I+T_masked
mv_227,A: [NUM]°,A,D,nan,I+T_masked
mv_228,A,A,D,nan,I+T_masked
mv_230,A,A,B,nan,I+T_masked
mv_231,A: [NUM]°,A,B,nan,I+T_masked
mv_232,A,A,B,nan,I+T_masked
mv_233,A: [NUM]°,A,B,nan,I+T_masked
mv_235,A: [NUM]°,A,D,nan,I+T_masked
mv_236,A,A,D,nan,I+T_masked
mv_237,A,A,D,nan,I+T_masked
mv_238,A,A,D,nan,I+T_masked
mv_240,A,A,D,nan,I+T_masked
mv_241,A,A,D,nan,I+T_masked
mv_242,A,A,D,nan,I+T_masked
mv_243,A:30°,A,D,nan,I+T_masked
mv_245,A,A,B,nan,I+T_masked
mv_246,A,A,B,nan,I+T_masked
mv_247,A,A,B,nan,I+T_masked
mv_248,A,A,B,nan,I+T_masked
mv_250,A: [NUM]°,A,C,nan,I+T_masked
mv_251,A,A,C,nan,I+T_masked
mv_252,A,A,C,nan,I+T_masked
mv_253,A: 45°,A,C,nan,I+T_masked
mv_255,A,A,D,nan,I+T_masked
mv_256,B,B,D,nan,I+T_masked
mv_257,B,B,D,nan,I+T_masked
mv_258,A,A,D,nan,I+T_masked
mv_260,A,A,A,nan,I+T_masked
mv_261,A,A,A,nan,I+T_masked
mv_262,A,A,A,nan,I+T_masked
mv_263,A,A,A,nan,I+T_masked
mv_265,A: [NUM]°,A,A,nan,I+T_masked
mv_266,A: [NUM]°,A,A,nan,I+T_masked
mv_267,A: [NUM]°,A,A,nan,I+T_masked
mv_268,A: 100°,A,A,nan,I+T_masked
mv_270,A,A,B,nan,I+T_masked
mv_271,A,A,B,nan,I+T_masked
mv_272,A,A,B,nan,I+T_masked
mv_273,A,A,B,nan,I+T_masked
mv_275,A,A,C,nan,I+T_masked
mv_276,A,A,C,nan,I+T_masked
mv_277,A,A,C,nan,I+T_masked
mv_278,A,A,C,nan,I+T_masked
mv_280,A: [NUM]°,A,B,nan,I+T_masked
mv_281,A: [NUM]°,A,B,nan,I+T_masked
mv_282,A: [NUM]°,A,B,nan,I+T_masked
mv_283,A,A,B,nan,I+T_masked
mv_285,A,A,B,nan,I+T_masked
mv_286,A,A,B,nan,I+T_masked
mv_287,A,A,B,nan,I+T_masked
mv_288,A,A,B,nan,I+T_masked
mv_290,A: [NUM]°,A,A,nan,I+T_masked
mv_291,A: [NUM]°,A,A,nan,I+T_masked
mv_292,A,A,A,nan,I+T_masked
mv_293,A: 80°,A,A,nan,I+T_masked
mv_295,A,A,B,nan,I+T_masked
mv_296,A,A,B,nan,I+T_masked
mv_297,A,A,B,nan,I+T_masked
mv_298,A,A,B,nan,I+T_masked
mv_300,A,A,B,nan,I+T_masked
mv_301,A,A,B,nan,I+T_masked
mv_302,A,A,B,nan,I+T_masked
mv_303,A,A,B,nan,I+T_masked
mv_305,A,A,B,nan,I+T_masked
mv_306,A,A,B,nan,I+T_masked
mv_307,A,A,B,nan,I+T_masked
mv_308,A,A,B,nan,I+T_masked
mv_310,C,C,A,nan,I+T_masked
mv_311,C,C,A,nan,I+T_masked
mv_312,C,C,A,nan,I+T_masked
mv_313,A,A,A,nan,I+T_masked
mv_315,B,B,A,nan,I+T_masked
mv_316,B,B,A,nan,I+T_masked
mv_317,B,B,A,nan,I+T_masked
mv_318,A,A,A,nan,I+T_masked
mv_320,A,A,D,nan,I+T_masked
mv_321,A,A,D,nan,I+T_masked
mv_322,A,A,D,nan,I+T_masked
mv_323,A,A,D,nan,I+T_masked
mv_325,A: [NUM]°,A,B,nan,I+T_masked
mv_326,A: [NUM]°,A,B,nan,I+T_masked
mv_327,A: [NUM]°,A,B,nan,I+T_masked
mv_328,A: 60°,A,B,nan,I+T_masked
mv_330,A,A,B,nan,I+T_masked
mv_331,A,A,B,nan,I+T_masked
mv_332,A,A,B,nan,I+T_masked
mv_333,A: 40°,A,B,nan,I+T_masked
mv_335,A,A,C,nan,I+T_masked
mv_336,A,A,C,nan,I+T_masked
mv_337,A,A,C,nan,I+T_masked
mv_338,12,12,C,nan,I+T_masked
mv_340,A,A,B,nan,I+T_masked
mv_341,A,A,B,nan,I+T_masked
mv_342,A,A,B,nan,I+T_masked
mv_343,A:40°,A,B,nan,I+T_masked
mv_345,A,A,C,nan,I+T_masked
mv_346,A,A,C,nan,I+T_masked
mv_347,A,A,C,nan,I+T_masked
mv_348,A,A,C,nan,I+T_masked
mv_350,A: [NUM]°,A,C,nan,I+T_masked
mv_351,A: [NUM]°,A,C,nan,I+T_masked
mv_352,A,A,C,nan,I+T_masked
mv_353,A: 42°,A,C,nan,I+T_masked
mv_355,A,A,B,nan,I+T_masked
mv_356,A,A,B,nan,I+T_masked
mv_357,A,A,B,nan,I+T_masked
mv_358,B,B,B,nan,I+T_masked
mv_360,A,A,A,nan,I+T_masked
mv_361,A,A,A,nan,I+T_masked
mv_362,A,A,A,nan,I+T_masked
mv_363,A: 70°,A,A,nan,I+T_masked
mv_365,A: [NUM]°,A,B,nan,I+T_masked
mv_366,A: [NUM]°,A,B,nan,I+T_masked
mv_367,A,A,B,nan,I+T_masked
mv_368,A: 1115°,A,B,nan,I+T_masked
mv_370,A,A,B,nan,I+T_masked
mv_371,A,A,B,nan,I+T_masked
mv_372,A,A,B,nan,I+T_masked
mv_373,A,A,B,nan,I+T_masked
mv_375,B,B,A,nan,I+T_masked
mv_376,B,B,A,nan,I+T_masked
mv_377,A,A,A,nan,I+T_masked
mv_378,A,A,A,nan,I+T_masked
mv_380,A,A,C,nan,I+T_masked
mv_381,A,A,C,nan,I+T_masked
mv_382,A,A,C,nan,I+T_masked
mv_383,A,A,C,nan,I+T_masked
mv_385,A,A,B,nan,I+T_masked
mv_386,A,A,B,nan,I+T_masked
mv_387,A,A,B,nan,I+T_masked
mv_388,A: 70°,A,B,nan,I+T_masked
mv_390,A,A,D,nan,I+T_masked
mv_391,A,A,D,nan,I+T_masked
mv_392,A,A,D,nan,I+T_masked
mv_393,B,B,D,nan,I+T_masked
mv_395,B,B,C,nan,I+T_masked
mv_396,B,B,C,nan,I+T_masked
mv_397,B,B,C,nan,I+T_masked
mv_398,B,B,C,nan,I+T_masked
mv_400,A,A,D,nan,I+T_masked
mv_401,A,A,D,nan,I+T_masked
mv_402,A,A,D,nan,I+T_masked
mv_403,A,A,D,nan,I+T_masked
mv_405,A: [NUM]°,A,C,nan,I+T_masked
mv_406,A,A,C,nan,I+T_masked
mv_407,A,A,C,nan,I+T_masked
mv_408,A: [60]°,A,C,nan,I+T_masked
mv_410,A,A,A,nan,I+T_masked
mv_411,A,A,A,nan,I+T_masked
mv_412,A,A,A,nan,I+T_masked
mv_413,A,A,A,nan,I+T_masked
mv_415,B:[NUM]√{[NUM]},B,C,nan,I+T_masked
mv_416,B:[NUM]√{[NUM]},B,C,nan,I+T_masked
mv_417,A,A,C,nan,I+T_masked
mv_418,A,A,C,nan,I+T_masked
mv_420,A,A,D,nan,I+T_masked
mv_421,A,A,D,nan,I+T_masked
mv_422,A,A,D,nan,I+T_masked
mv_423,A,A,D,nan,I+T_masked
mv_425,D,D,B,nan,I+T_masked
mv_426,D,D,B,nan,I+T_masked
mv_427,A,A,B,nan,I+T_masked
mv_428,B: [NUM]√{[NUM]},B,B,nan,I+T_masked
mv_430,A,A,A,nan,I+T_masked
mv_431,A,A,A,nan,I+T_masked
mv_432,A,A,A,nan,I+T_masked
mv_433,A,A,A,nan,I+T_masked
mv_435,A,A,A,nan,I+T_masked
mv_436,A,A,A,nan,I+T_masked
mv_437,A,A,A,nan,I+T_masked
mv_438,B,B,A,nan,I+T_masked
mv_440,A: [NUM]°,A,D,nan,I+T_masked
mv_441,A: [NUM]°,A,D,nan,I+T_masked
mv_442,A: [NUM]°,A,D,nan,I+T_masked
mv_443,A: 25°,A,D,nan,I+T_masked
mv_445,A,A,C,nan,I+T_masked
mv_446,A,A,C,nan,I+T_masked
mv_447,A,A,C,nan,I+T_masked
mv_448,A: 55°,A,C,nan,I+T_masked
mv_450,A,A,B,nan,I+T_masked
mv_451,A,A,B,nan,I+T_masked
mv_452,A,A,B,nan,I+T_masked
mv_453,A,A,B,nan,I+T_masked
mv_455,A: [NUM]°,A,B,nan,I+T_masked
mv_456,A,A,B,nan,I+T_masked
mv_457,A,A,B,nan,I+T_masked
mv_458,B,B,B,nan,I+T_masked
mv_460,A: [NUM]°,A,A,nan,I+T_masked
mv_461,A: [NUM]°,A,A,nan,I+T_masked
mv_462,A: [NUM]°,A,A,nan,I+T_masked
mv_463,A:40°,A,A,nan,I+T_masked
mv_465,A,A,A,nan,I+T_masked
mv_466,A,A,A,nan,I+T_masked
mv_467,A,A,A,nan,I+T_masked
mv_468,A,A,A,nan,I+T_masked
mv_470,C: [NUM]°,C,C,nan,I+T_masked
mv_471,A,A,C,nan,I+T_masked
mv_472,A,A,C,nan,I+T_masked
mv_473,C: 60°,C,C,nan,I+T_masked
mv_475,A,A,C,nan,I+T_masked
mv_476,A,A,C,nan,I+T_masked
mv_477,A,A,C,nan,I+T_masked
mv_478,B,B,C,nan,I+T_masked
mv_480,A: [NUM]°,A,C,nan,I+T_masked
mv_481,A: [NUM]°,A,C,nan,I+T_masked
mv_482,B: [NUM]°,B,C,nan,I+T_masked
mv_483,A: 25°,A,C,nan,I+T_masked
mv_485,A,A,B,nan,I+T_masked
mv_486,A,A,B,nan,I+T_masked
mv_487,A,A,B,nan,I+T_masked
mv_488,A: 50°,A,B,nan,I+T_masked
mv_490,A: [NUM]°,A,C,nan,I+T_masked
mv_491,A,A,C,nan,I+T_masked
mv_492,A,A,C,nan,I+T_masked
mv_493,A: 26°,A,C,nan,I+T_masked
mv_495,A,A,D,nan,I+T_masked
mv_496,A,A,D,nan,I+T_masked
mv_497,A,A,D,nan,I+T_masked
mv_498,A: 30°,A,D,nan,I+T_masked
mv_500,A,A,C,nan,I+T_masked
mv_501,A,A,C,nan,I+T_masked
mv_502,A,A,C,nan,I+T_masked
mv_503,A,A,C,nan,I+T_masked
mv_505,B: \frac{[NUM]}{[NUM]},B,C,nan,I+T_masked
mv_506,B,B,C,nan,I+T_masked
mv_507,B,B,C,nan,I+T_masked
mv_508,A: 2.5,A,C,nan,I+T_masked
mv_510,A,A,A,nan,I+T_masked
mv_511,A,A,A,nan,I+T_masked
mv_512,A,A,A,nan,I+T_masked
mv_513,B,B,A,nan,I+T_masked
mv_515,A,A,A,nan,I+T_masked
mv_516,A,A,A,nan,I+T_masked
mv_517,A,A,A,nan,I+T_masked
mv_518,B,B,A,nan,I+T_masked
mv_520,A,A,B,nan,I+T_masked
mv_521,A,A,B,nan,I+T_masked
mv_522,A,A,B,nan,I+T_masked
mv_523,A,A,B,nan,I+T_masked
mv_525,A,A,B,nan,I+T_masked
mv_526,A,A,B,nan,I+T_masked
mv_527,A,A,B,nan,I+T_masked
mv_528,C: 135°,C,B,nan,I+T_masked
mv_530,A,A,C,nan,I+T_masked
mv_531,A,A,C,nan,I+T_masked
mv_532,A,A,C,nan,I+T_masked
mv_533,A: 130°,A,C,nan,I+T_masked
mv_535,A,A,D,nan,I+T_masked
mv_536,C,C,D,nan,I+T_masked
mv_537,C,C,D,nan,I+T_masked
mv_538,A,A,D,nan,I+T_masked
mv_540,A,A,B,nan,I+T_masked
mv_541,A,A,B,nan,I+T_masked
mv_542,A,A,B,nan,I+T_masked
mv_543,B,B,B,nan,I+T_masked
mv_545,A,A,B,nan,I+T_masked
mv_546,A,A,B,nan,I+T_masked
mv_547,B: [NUM]√[NUM]米,B,B,nan,I+T_masked
mv_548,B:√[NUM]m,B,B,nan,I+T_masked
mv_550,A,A,C,nan,I+T_masked
mv_551,A,A,C,nan,I+T_masked
mv_552,A,A,C,nan,I+T_masked
mv_553,A: 72°,A,C,nan,I+T_masked
mv_555,A,A,A,nan,I+T_masked
mv_556,A,A,A,nan,I+T_masked
mv_557,A,A,A,nan,I+T_masked
mv_558,A,A,A,nan,I+T_masked
mv_560,A,A,A,nan,I+T_masked
mv_561,A,A,A,nan,I+T_masked
mv_562,A,A,A,nan,I+T_masked
mv_563,A,A,A,nan,I+T_masked
mv_565,B,B,C,nan,I+T_masked
mv_566,B,B,C,nan,I+T_masked
mv_567,B,B,C,nan,I+T_masked
mv_568,B: 900π cm²,B,C,nan,I+T_masked
mv_570,A,A,C,nan,I+T_masked
mv_571,A,A,C,nan,I+T_masked
mv_572,A,A,C,nan,I+T_masked
mv_573,A,A,C,nan,I+T_masked
mv_575,A,A,B,nan,I+T_masked
mv_576,A,A,B,nan,I+T_masked
mv_577,A,A,B,nan,I+T_masked
mv_578,A,A,B,nan,I+T_masked
mv_580,A,A,B,nan,I+T_masked
mv_581,A,A,B,nan,I+T_masked
mv_582,A,A,B,nan,I+T_masked
mv_583,A,A,B,nan,I+T_masked
mv_585,A,A,C,nan,I+T_masked
mv_586,A,A,C,nan,I+T_masked
mv_587,A,A,C,nan,I+T_masked
mv_588,A,A,C,nan,I+T_masked
mv_590,A,A,A,nan,I+T_masked
mv_591,A,A,A,nan,I+T_masked
mv_592,A,A,A,nan,I+T_masked
mv_593,A,A,A,nan,I+T_masked
mv_595,A,A,B,nan,I+T_masked
mv_596,A,A,B,nan,I+T_masked
mv_597,A,A,B,nan,I+T_masked
mv_598,A,A,B,nan,I+T_masked
mv_600,B:[NUM]πcm^{[NUM]},B,C,nan,I+T_masked
mv_601,B,B,C,nan,I+T_masked
mv_602,B,B,C,nan,I+T_masked
mv_603,B,B,C,nan,I+T_masked
mv_605,A,A,D,nan,I+T_masked
mv_606,C:120,C,D,nan,I+T_masked
mv_607,C:120,C,D,nan,I+T_masked
mv_608,C:120,C,D,nan,I+T_masked
mv_610,A,A,B,nan,I+T_masked
mv_611,A,A,B,nan,I+T_masked
mv_612,A,A,B,nan,I+T_masked
mv_613,A,A,B,nan,I+T_masked
mv_615,A,A,B,nan,I+T_masked
mv_616,A,A,B,nan,I+T_masked
mv_617,A,A,B,nan,I+T_masked
mv_618,A,A,B,nan,I+T_masked
mv_620,A,A,C,nan,I+T_masked
mv_621,B,B,C,nan,I+T_masked
mv_622,B,B,C,nan,I+T_masked
mv_623,B,B,C,nan,I+T_masked
mv_625,A,A,A,nan,I+T_masked
mv_626,A,A,A,nan,I+T_masked
mv_627,A,A,A,nan,I+T_masked
mv_628,B,B,A,nan,I+T_masked
mv_630,A,A,C,nan,I+T_masked
mv_631,A,A,C,nan,I+T_masked
mv_632,A,A,C,nan,I+T_masked
mv_633,D:120,D,C,nan,I+T_masked
mv_635,A,A,B,nan,I+T_masked
mv_636,A,A,B,nan,I+T_masked
mv_637,A,A,B,nan,I+T_masked
mv_638,A,A,B,nan,I+T_masked
mv_640,A,A,C,nan,I+T_masked
mv_641,A,A,C,nan,I+T_masked
mv_642,A,A,C,nan,I+T_masked
mv_643,A,A,C,nan,I+T_masked
mv_645,A,A,B,nan,I+T_masked
mv_646,A,A,B,nan,I+T_masked
mv_647,A,A,B,nan,I+T_masked
mv_648,A,A,B,nan,I+T_masked
mv_650,B:[NUM]√{[NUM]},B,D,nan,I+T_masked
mv_651,A,A,D,nan,I+T_masked
mv_652,A,A,D,nan,I+T_masked
mv_653,A,A,D,nan,I+T_masked
mv_655,A,A,D,nan,I+T_masked
mv_656,A,A,D,nan,I+T_masked
mv_657,A,A,D,nan,I+T_masked
mv_658,B,B,D,nan,I+T_masked
mv_660,B,B,B,nan,I+T_masked
mv_661,B,B,B,nan,I+T_masked
mv_662,B,B,B,nan,I+T_masked
mv_663,B,B,B,nan,I+T_masked
mv_665,C:[NUM]米,C,B,nan,I+T_masked
mv_666,A,A,B,nan,I+T_masked
mv_667,A,A,B,nan,I+T_masked
mv_668,B,B,B,nan,I+T_masked
mv_670,A,A,C,nan,I+T_masked
mv_671,A,A,C,nan,I+T_masked
mv_672,A,A,C,nan,I+T_masked
mv_673,A,A,C,nan,I+T_masked
mv_675,B,B,A,nan,I+T_masked
mv_676,B,B,A,nan,I+T_masked
mv_677,B,B,A,nan,I+T_masked
mv_678,B,B,A,nan,I+T_masked
mv_680,A,A,A,nan,I+T_masked
mv_681,A,A,A,nan,I+T_masked
mv_682,A,A,A,nan,I+T_masked
mv_683,B,B,A,nan,I+T_masked
mv_685,A,A,C,nan,I+T_masked
mv_686,A,A,C,nan,I+T_masked
mv_687,A,A,C,nan,I+T_masked
mv_688,A,A,C,nan,I+T_masked
mv_690,A,A,D,nan,I+T_masked
mv_691,A,A,D,nan,I+T_masked
mv_692,A,A,D,nan,I+T_masked
mv_693,A,A,D,nan,I+T_masked
mv_695,A,A,A,nan,I+T_masked
mv_696,A,A,A,nan,I+T_masked
mv_697,A,A,A,nan,I+T_masked
mv_698,A,A,A,nan,I+T_masked
mv_700,A,A,A,nan,I+T_masked
mv_701,A,A,A,nan,I+T_masked
mv_702,A,A,A,nan,I+T_masked
mv_703,A,A,A,nan,I+T_masked
mv_705,A,A,A,nan,I+T_masked
mv_706,A,A,A,nan,I+T_masked
mv_707,A,A,A,nan,I+T_masked
mv_708,A,A,A,nan,I+T_masked
mv_710,B,B,A,nan,I+T_masked
mv_711,B,B,A,nan,I+T_masked
mv_712,B,B,A,nan,I+T_masked
mv_713,B,B,A,nan,I+T_masked
mv_715,B,B,D,nan,I+T_masked
mv_716,A,A,D,nan,I+T_masked
mv_717,A,A,D,nan,I+T_masked
mv_718,C,C,D,nan,I+T_masked
mv_720,A,A,B,nan,I+T_masked
mv_721,A,A,B,nan,I+T_masked
mv_722,A,A,B,nan,I+T_masked
mv_723,A:30°,A,B,nan,I+T_masked
mv_725,A,A,B,nan,I+T_masked
mv_726,B,B,B,nan,I+T_masked
mv_727,B,B,B,nan,I+T_masked
mv_728,B,B,B,nan,I+T_masked
mv_730,B,B,D,nan,I+T_masked
mv_731,B,B,D,nan,I+T_masked
mv_732,B,B,D,nan,I+T_masked
mv_733,B,B,D,nan,I+T_masked
mv_735,B,B,A,nan,I+T_masked
mv_736,B,B,A,nan,I+T_masked
mv_737,B,B,A,nan,I+T_masked
mv_738,B,B,A,nan,I+T_masked
mv_740,A,A,A,nan,I+T_masked
mv_741,A,A,A,nan,I+T_masked
mv_742,A,A,A,nan,I+T_masked
mv_743,A,A,A,nan,I+T_masked
mv_745,A,A,C,nan,I+T_masked
mv_746,A,A,C,nan,I+T_masked
mv_747,A,A,C,nan,I+T_masked
mv_748,D,D,C,nan,I+T_masked
mv_750,A,A,B,nan,I+T_masked
mv_751,A,A,B,nan,I+T_masked
mv_752,A,A,B,nan,I+T_masked
mv_753,A,A,B,nan,I+T_masked
mv_755,A,A,B,nan,I+T_masked
mv_756,A,A,B,nan,I+T_masked
mv_757,A,A,B,nan,I+T_masked
mv_758,B,B,B,nan,I+T_masked
mv_760,A,A,A,nan,I+T_masked
mv_761,A,A,A,nan,I+T_masked
mv_762,A,A,A,nan,I+T_masked
mv_763,B,B,A,nan,I+T_masked
mv_765,B,B,C,nan,I+T_masked
mv_766,B,B,C,nan,I+T_masked
mv_767,B,B,C,nan,I+T_masked
mv_768,B,B,C,nan,I+T_masked
mv_770,A,A,C,nan,I+T_masked
mv_771,A,A,C,nan,I+T_masked
mv_772,A,A,C,nan,I+T_masked
mv_773,B,B,C,nan,I+T_masked
mv_775,A,A,B,nan,I+T_masked
mv_776,A,A,B,nan,I+T_masked
mv_777,A,A,B,nan,I+T_masked
mv_778,A,A,B,nan,I+T_masked
mv_780,A,A,A,nan,I+T_masked
mv_781,A,A,A,nan,I+T_masked
